Method,raw_train_mean,raw_train_std,raw_test_mean,raw_test_std,preprocessed_train_mean,preprocessed_train_std,preprocessed_test_mean,preprocessed_test_std,features_train_mean,features_train_std,features_test_mean,features_test_std,mfcc_train_mean,mfcc_train_std,mfcc_test_mean,mfcc_test_std,linear_train_mean,linear_train_std,linear_test_mean,linear_test_std
AdaBoostClassifier(),0.751660156,0.001437461,0.740657552,0.002745204,0.656453162,0.001182051,0.639304331,0.004150799,1.0,0.0,0.53022765,0.040379844,1.0,0.0,0.535278155,0.053702897,1.0,0.0,0.5551786521935775,0.04444021494767
AdaBoostClassifier(learning_rate=0.1),0.669124349,0.002746362,0.666308594,0.001381068,0.603381071,0.003681447,0.597529123,0.004898277,0.895054801,0.018029199,0.595055028,0.019867348,0.919986533,0.003808902,0.454997739,0.030467969,0.9150301125949202,0.0231132426740194,0.6005578169757274,0.0809774395309717
AdaBoostClassifier(learning_rate=0.5),0.727913411,0.00354631,0.720638021,0.003043924,0.643530529,0.001416481,0.6304614,0.005489732,1.0,0.0,0.570179406,0.028146784,1.0,0.0,0.499849239,0.022174478,1.0,0.0,0.5698025026383235,0.0285872690414769
AdaBoostClassifier(learning_rate=1.5),0.746858724,0.010916578,0.736621094,0.003709224,0.653251069,0.004111789,0.637483516,0.005033175,1.0,0.0,0.509874868,0.051858835,1.0,0.0,0.504975124,0.036728416,1.0,0.0,0.619930649781396,0.0497229108546912
AdaBoostClassifier(learning_rate=2.0),0.501464844,0.001596214,0.497851563,0.00270045,0.501999326,0.00126988,0.499999968,0.000717776,0.805109789,0.031654149,0.555480175,0.077123012,0.875060786,0.025195074,0.529549224,0.066318457,0.877492238057831,0.0155039060860227,0.469621589024574,0.064811248295718
AdaBoostClassifier(n_estimators=100),0.782682292,0.002599789,0.769921875,0.003257486,0.674496037,0.002823737,0.653575841,0.005057791,1.0,0.0,0.540253279,0.055698003,1.0,0.0,0.520051259,0.043264435,1.0,0.0,0.5900799035127394,0.0739871187689859
AdaBoostClassifier(n_estimators=200),0.799739583,0.003976887,0.784342448,0.002486348,0.689011703,0.000478736,0.665636936,0.005727404,1.0,0.0,0.465551033,0.095289519,1.0,0.0,0.5448515,0.037003235,1.0,0.0,0.4800241218151665,0.0367183580587722
AdaBoostClassifier(n_estimators=400),0.81344401,0.003519315,0.796061198,0.004084735,0.69874837,0.001013515,0.66960353,0.005326327,1.0,0.0,0.530152269,0.028246537,1.0,0.0,0.470073873,0.026517716,1.0,0.0,0.5700286446555104,0.0975762550808707
GaussianNB(),0.500097656,0.001307818,0.500292969,0.00460402,0.537142393,0.001061246,0.537126138,0.004232016,0.52625,0.025433737,0.5,0.093541435,0.79504732,0.014724851,0.585029398,0.012876202,0.5325814536340853,0.0230385668055767,0.5052766470676918,0.0460946493978826
KNeighborsClassifier(n_jobs=-2),0.998925781,0.000210962,0.997265625,0.000708709,0.952909621,0.000701526,0.911931041,0.004536426,0.700183294,0.052205604,0.500527665,0.089133493,0.69257098,0.020993749,0.470073873,0.026517716,0.707402835446826,0.0276531749144461,0.484622342831298,0.0810264038945837
"KNeighborsClassifier(n_jobs=-2, n_neighbors=1)",1.0,0.0,0.999251302,4.6e-05,1.0,0.0,0.948862138,0.001385405,1.0,0.0,0.5,0.03046629,1.0,0.0,0.494798734,0.041693622,1.0,0.0,0.4905020352781546,0.0897114246538451
"KNeighborsClassifier(n_jobs=-2, n_neighbors=13)",0.996679688,0.000279076,0.994986979,0.000121799,0.906274426,0.001902829,0.875520218,0.002990132,0.617476527,0.022489076,0.565128901,0.030436061,0.657408446,0.026613001,0.514925373,0.038052384,0.6025137470542027,0.0339880381250816,0.4947987336047038,0.0512779205601088
"KNeighborsClassifier(n_jobs=-2, n_neighbors=131)",0.9382486979166664,0.0011236364319071,0.9369466145833334,0.0029986812377412,0.7639629421918596,0.0004047299112235,0.7546815138151635,0.0059878520009744,0.5225189840272323,0.0081559590896785,0.4550731192522237,0.0159824802950325,0.5124939213705907,0.0063752791559105,0.4749736167646616,0.0127449079088255,0.5099876557064303,0.0046489330031641,0.5001507613447912,0.022174477570655
