Method,raw_train_mean,raw_train_std,raw_test_mean,raw_test_std,preprocessed_train_mean,preprocessed_train_std,preprocessed_test_mean,preprocessed_test_std,features_train_mean,features_train_std,features_test_mean,features_test_std
AdaBoostClassifier(),0.1643432690759043,0.0042298494984741,0.1620751963692752,0.0043084414943451,0.1385636221701795,0.0007717192953103,0.1363714472282365,0.0008111538814728,0.1572327044025157,0.0263401152092728,0.0779874213836478,0.018572104478281
AdaBoostClassifier(learning_rate=0.1),0.1421704063492173,0.0020274283653694,0.1398584137745585,0.0032598234984587,0.128169816230441,0.0008464262193845,0.1255897760692069,0.0018172870817614,0.2842767295597484,0.0139786860194294,0.0918238993710692,0.0088944249205855
AdaBoostClassifier(learning_rate=0.5),0.1691430661340856,0.0018196932651761,0.1669189517577924,0.0015455773598648,0.1406870615036405,0.0002159983003398,0.1373042876290633,0.0014149610352964,0.2018867924528301,0.0093708581294033,0.0880503144654088,0.0124521948888197
AdaBoostClassifier(learning_rate=1.5),0.1502124087291825,0.0024649489555782,0.148950195796442,0.0022257270037674,0.1309609729034412,0.0018080015700876,0.1294733379484385,0.0021999887495096,0.1427672955974842,0.011966224899648,0.0566037735849056,0.0061622383466243
AdaBoostClassifier(learning_rate=2.0),0.0831225892433744,0.0088780543436258,0.0819188812053372,0.0093537104428869,0.0899282694828627,0.0075510408976595,0.0886198380785451,0.0069175093314554,0.1238993710691824,0.0117662181974023,0.0817610062893081,0.0124521948888197
AdaBoostClassifier(n_estimators=100),0.1769043019256099,0.0014707400953534,0.1732031092725559,0.0023517696046005,0.1490408927773604,0.0007899485420541,0.1443545971847858,0.0009552589324979,0.1559748427672956,0.0035577699682342,0.0767295597484276,0.0145608011355851
AdaBoostClassifier(n_estimators=200),0.1798974544129518,0.0019051687144088,0.1755713008249652,0.0027125354558058,0.1532411294242411,0.0008898797990275,0.1473986027032733,0.0012116286203108,0.1509433962264151,0.022377920597053,0.0716981132075471,0.0202042495650427
AdaBoostClassifier(n_estimators=400),0.1668481398006417,0.0014118964073758,0.1643896555025631,0.0012361291361374,0.1494582161145724,0.0005610699649635,0.1438538091801315,0.0012495899207958,0.1635220125786163,0.0238828145233302,0.0716981132075471,0.0106733099047026
GaussianNB(),0.12791748046875,0.0002750783461895,0.1277587890625,0.0017182366731666,0.115596109682768,0.0004038279246631,0.1151665265581931,0.0016237442819167,0.1116352201257861,0.0049721346857993,0.0842767295597484,0.0129504781647635
"KNeighborsClassifier(n_jobs=-2, n_neighbors=1)",1.0,0.0,0.9457275324080012,0.0010629355481761,1.0,0.0,0.5732844328575847,0.0027783185667528,1.0,0.0,0.0830188679245283,0.0081518750923369
"KNeighborsClassifier(n_jobs=-2, n_neighbors=13)",0.9095068366993588,0.0004161499395775,0.8714013743339603,0.0014094586333242,0.5730315840120975,0.0014046294226679,0.4077936360645918,0.0010390223361742,0.2119496855345911,0.0168994073491124,0.0767295597484276,0.0017788849841171
"KNeighborsClassifier(n_jobs=-2, n_neighbors=131)",0.7262915062394836,0.0011665322363427,0.7117675802331916,0.002073794193828,0.3248788534900505,0.0007424186028663,0.2881445804427555,0.0012834299437167,0.0930817610062893,0.0169694812116126,0.0641509433962264,0.0111091331651922
"KNeighborsClassifier(n_jobs=-2, n_neighbors=25)",0.8713085927530707,0.0012274960258472,0.8421386674090233,0.0006469912875473,0.4846596850927194,0.0012190020491161,0.3755517260002258,0.0017891344260001,0.180503144654088,0.0072804005677926,0.0616352201257861,0.0320693051169357
KNeighborsClassifier(n_jobs=-2),0.9559912122661558,0.0004258576903386,0.9025097641421488,0.0015459108271851,0.7058385989719117,0.0004028785804291,0.4655020890715293,0.001923456951205,0.3364779874213836,0.0075993999833928,0.0729559748427673,0.0099044124201406
"KNeighborsClassifier(n_jobs=-2, n_neighbors=53)",0.8175317387439899,0.0001404092672796,0.7977343735598367,0.0012966391170028,0.4033356408859038,0.0014819162503068,0.3347964198567353,0.0010170756206272,0.120125786163522,0.0049522062100703,0.0591194968553459,0.0077539798779483
"KNeighborsClassifier(n_jobs=-2, n_neighbors=89)",0.7694311468454665,0.0016645152412527,0.7535498087050421,0.000720258475162,0.3562591136052317,0.0003581211493959,0.3090843925981569,0.0005945790274068,0.1056603773584905,0.0040759375461684,0.0515723270440251,0.0088944249205855
LinearDiscriminantAnalysis(),0.130604248046875,0.0007632509129878,0.130263671875,0.0021558930474755,0.1248103636980794,0.00097315754629,0.1239303167610166,0.0022836020512203,0.539937106918239,0.0063363024149716,0.1182389937106918,0.0192415830701614
"SVC(cache_size=2000, kernel='poly')",,,,,,,,,0.0779874213836478,0.0023532436394804,0.0377358490566037,0.0039777077486394
SVC(cache_size=2000),,,,,,,,,0.080817610062893,0.0023532436394804,0.0314465408805031,0.0112506564905649
"SVC(cache_size=2000, kernel='sigmoid')",,,,,,,,,0.0720125786163522,0.0053919585532963,0.040251572327044,0.0123244766932486
