Method,raw_imagined_train_mean,raw_imagined_train_std,raw_imagined_test_mean,raw_imagined_test_std,raw_inner_train_mean,raw_inner_train_std,raw_inner_test_mean,raw_inner_test_std
AdaBoostClassifier(),0.0739664713541666,0.0006087489811451,0.0619466145833333,0.0011347214556509,0.0732055664062499,0.0013992190317181,0.0624511718749999,0.0004788310769321
AdaBoostClassifier(learning_rate=0.1),0.0718627929687499,0.0007226589993261,0.0620930989583333,0.0008789815988149,0.0713948567708333,0.0004892297644918,0.0615152994791666,0.0001797747561391
AdaBoostClassifier(learning_rate=0.5),0.0752278645833333,0.0001003322591629,0.0626464843749999,0.0013502249447888,0.0738484700520833,0.0005568452276873,0.0617594401041666,0.0015160763692193
AdaBoostClassifier(learning_rate=1.5),0.0741048177083333,0.0005266814920294,0.063818359375,0.0003844730407232,0.0728474934895833,0.0003893938797288,0.0614339192708333,0.0004916603993161
AdaBoostClassifier(learning_rate=2.0),0.0633870442708333,0.0011963859397777,0.0630859375,0.0006218001788702,0.06336669921875,0.0009412879711258,0.0631510416666666,0.0011880953004904
AdaBoostClassifier(n_estimators=100),0.0778971354166666,0.000861112591185,0.0643798828125,0.0005980199567341,0.076953125,0.0015088404180681,0.0630452473958333,0.0014665156113257
AdaBoostClassifier(n_estimators=200),0.08074951171875,0.0011582322184021,0.0630940755208333,0.0005004717402839,0.08045654296875,0.000563201608023,0.0624593098958333,0.0014142372393377
AdaBoostClassifier(n_estimators=400),0.08668212890625,0.0010465349242848,0.0633219401041666,0.0010473098484371,0.0856404622395833,0.0008073474495596,0.062158203125,0.0012914092925232
GaussianNB(),0.0701131184895833,0.0006315688797673,0.062548828125,0.0013623348279844,0.0699300130208333,0.0006007339584594,0.0620035807291666,0.0013916729468167
"KNeighborsClassifier(n_jobs=-2, n_neighbors=1)",1.0,0.0,0.0632568359374999,0.0022186818000448,1.0,0.0,0.0617268880208333,0.0012205946132325
"KNeighborsClassifier(n_jobs=-2, n_neighbors=13)",0.2091105143229167,0.0003161806995452,0.0627848307291666,0.0004884168648477,0.2059285481770833,0.0019787024907341,0.0625895182291666,0.000121798743059
"KNeighborsClassifier(n_jobs=-2, n_neighbors=131)",0.1049397786458333,0.0013479545128062,0.0635660807291666,0.0009041630476778,0.1032674153645833,0.0008651408959939,0.0625406901041666,0.0003064480856732
"KNeighborsClassifier(n_jobs=-2, n_neighbors=25)",0.16470947265625,0.0011693291030105,0.0634195963541666,0.0005401831632576,0.1637858072916666,0.001809287209029,0.0622639973958333,0.0003741720030134
KNeighborsClassifier(n_jobs=-2),0.3072591145833334,0.0011397878515632,0.0631022135416666,0.0005716344182563,0.30689697265625,0.001883868331652,0.06201171875,0.0003009967774887
"KNeighborsClassifier(n_jobs=-2, n_neighbors=53)",0.13114013671875,0.0007866355915181,0.0633463541666666,0.0012736457597204,0.1278157552083333,0.0013724935594541,0.0619710286458333,0.0011375194990375
"KNeighborsClassifier(n_jobs=-2, n_neighbors=89)",0.1150146484374999,0.0007690106743384,0.0622395833333333,0.0009307989178667,0.1137003580729166,0.0009571606468557,0.0609781901041666,0.000892440759359
LinearDiscriminantAnalysis(),0.06876220703125,0.0008110151253332,0.06201171875,0.0003355391947931,0.06788330078125,0.000503859498897,0.06103515625,0.0021257220768024
