Method,raw_imagined_train_mean,raw_imagined_train_std,raw_imagined_test_mean,raw_imagined_test_std,preprocessed_imagined_train_mean,preprocessed_imagined_train_std,preprocessed_imagined_test_mean,preprocessed_imagined_test_std,features_imagined_train_mean,features_imagined_train_std,features_imagined_test_mean,features_imagined_test_std,raw_inner_train_mean,raw_inner_train_std,raw_inner_test_mean,raw_inner_test_std,preprocessed_inner_train_mean,preprocessed_inner_train_std,preprocessed_inner_test_mean,preprocessed_inner_test_std,features_inner_train_mean,features_inner_train_std,features_inner_test_mean,features_inner_test_std
AdaBoostClassifier(),0.1591471354166666,0.002434327778367,0.1575439453125,0.001856458968571,0.1241179554771181,0.0008825669391484,0.1215314408551331,0.0006586660306151,0.1931029950228346,0.0111843632500371,0.0689671447923009,0.0078903284440477,0.1576009114583333,0.0048247492091458,0.15479736328125,0.0041507855395756,0.1180664553215671,0.000827854233699,0.1152210839475201,0.0011069677956868,0.1874588871048741,0.0181938187424402,0.0733625494999268,0.0108099219116968
AdaBoostClassifier(learning_rate=0.1),0.14361572265625,0.0012222382112141,0.1421427408854166,0.0019171215015269,0.106067400852015,0.0002905279393253,0.1046589864978665,0.0004542384928511,0.1990653963224147,0.0150496443295403,0.065823692942337,0.013351009510949,0.1363850911458333,0.0009946088173473,0.1349609375,0.0010225286355085,0.1030569356286742,0.0005000304094484,0.1012184545433424,0.0005893707793861,0.2144139157866444,0.0153256625079347,0.0821415591709971,0.0131267623370076
AdaBoostClassifier(learning_rate=0.5),0.1663187662760416,0.0016397480917021,0.1649129231770833,0.0028678182196357,0.1259075253124415,0.0017265150568617,0.1232598590339397,0.001251697737326,0.2106624746249442,0.0126393955279815,0.0708409441683304,0.0063363063923144,0.1578084309895833,0.0018296458157681,0.1561279296875,0.0034236461172491,0.1139145850688234,0.0016137467408242,0.1120944443309556,0.0009087775695018,0.2156673433348187,0.0152847982764617,0.0902633230911553,0.0214339016429228
AdaBoostClassifier(learning_rate=1.5),0.1380147298177083,0.001877955209452,0.1358357747395833,0.0018589277539874,0.1159691175815213,0.0012831889778268,0.1161464441450802,0.0012249274263001,0.1401257140970959,0.0027849053492726,0.059558028781936,0.0112978828166039,0.1338297526041666,0.0048489844160679,0.1326416015625,0.0046463858727747,0.1117540576966114,0.0006777371344869,0.1096118836235244,0.0006077067244818,0.1639540997366416,0.011196872960772,0.0702214575987992,0.0032403390913681
AdaBoostClassifier(learning_rate=2.0),0.07786865234375,0.0143570473077692,0.0766642252604166,0.0139231750037351,0.0675122623286008,0.0008437973214359,0.0665440951979326,0.0014835521826463,0.1137934205221426,0.0119271049674743,0.0727241833397051,0.00842782947919,0.07994384765625,0.0044331975863523,0.0814331054687499,0.0041774570301097,0.0748682293168169,0.0004474719225302,0.0745910248788084,0.0016027405088719,0.112858581071682,0.0246618538547967,0.0620666543949327,0.0026065653592866
AdaBoostClassifier(n_estimators=100),0.1748189290364583,0.0016657218639334,0.17115478515625,0.001658569774673,0.1338525388391818,0.0003835266677941,0.1306912449289259,0.0007190211292414,0.1780698217792835,0.032916495400477,0.070212017803454,0.0086771726084745,0.1681050618489583,0.0033625342917633,0.1657552083333333,0.0028909338250594,0.1252471347093059,0.0002218979072876,0.1216048200911236,2.918180756555364e-05,0.1846313808981532,0.0203297704330879,0.0664502593583771,0.0099450645043819
AdaBoostClassifier(n_estimators=200),0.1769144694010417,0.0029314050231731,0.1748779296875,0.001631759425648,0.1422337395545409,0.0029603640961731,0.1385873523256473,0.0032588835794941,0.1617543388103372,0.0224248446558284,0.0752328089527019,0.0125493524119754,0.1711466471354167,0.0019608683208743,0.1668904622395833,0.0015514726397429,0.1278132637330564,0.0006602757701762,0.1244461117156528,0.0008672908940598,0.1683365280557932,0.0092742706148718,0.075874715036178,0.014987454815117
AdaBoostClassifier(n_estimators=400),0.1710978190104166,0.0018323585671534,0.1697875976562499,0.0002904144837248,0.1419626534783482,0.0008690458543328,0.1373032682401673,0.0014948885262051,0.2833624512834296,0.0947678368764836,0.0702179176755447,0.0022993211741057,0.159124755859375,0.000914183584165,0.15528564453125,0.0015307377068574,0.1284206577850877,0.0008641001655381,0.1219227870592118,0.0009455178186559,0.1840295706340168,0.0614859940809469,0.0608111616140162,0.0088368899449208
GaussianNB(),0.0963399251302083,0.0004866615558436,0.0962361653645833,0.0008169900124296,0.091425781586818,0.0003171349188804,0.0916387695940036,0.0009212094593861,0.0775862068965517,0.0007009617484325,0.0702194357366771,0.00983347156198,0.109222412109375,0.0008354796644289,0.10877685546875,0.0011761903779732,0.083631594645049,0.0004652018061609,0.08353070070274,0.0006298445198437,0.0789968652037617,0.0038838594650043,0.0677115987460815,0.0153060258504497
"KNeighborsClassifier(n_jobs=-2, n_neighbors=1)",1.0,0.0,0.9946207682291668,0.0001772706779849,1.0,0.0,0.8136284211341024,0.0011734924321627,1.0,0.0,0.0777402545912804,0.0031317379128444,1.0,0.0,0.9757975260416668,0.0004862765378882,1.0,0.0,0.7408391785149834,0.0003262031075108,1.0,0.0,0.0676986722927846,0.0145990928041847
