Method,raw_imagined_train_mean,raw_imagined_train_std,raw_imagined_test_mean,raw_imagined_test_std,preprocessed_imagined_train_mean,preprocessed_imagined_train_std,preprocessed_imagined_test_mean,preprocessed_imagined_test_std,features_imagined_train_mean,features_imagined_train_std,features_imagined_test_mean,features_imagined_test_std,raw_inner_train_mean,raw_inner_train_std,raw_inner_test_mean,raw_inner_test_std,preprocessed_inner_train_mean,preprocessed_inner_train_std,preprocessed_inner_test_mean,preprocessed_inner_test_std,features_inner_train_mean,features_inner_train_std,features_inner_test_mean,features_inner_test_std,mfcc_imagined_train_mean,mfcc_imagined_train_std,mfcc_imagined_test_mean,mfcc_imagined_test_std,mfcc_inner_train_mean,mfcc_inner_train_std,mfcc_inner_test_mean,mfcc_inner_test_std,linear_imagined_train_mean,linear_imagined_train_std,linear_imagined_test_mean,linear_imagined_test_std,linear_inner_train_mean,linear_inner_train_std,linear_inner_test_mean,linear_inner_test_std
AdaBoostClassifier(),0.146166992,0.001649584,0.144124349,0.002229855,0.119711305,0.001314184,0.117467221,0.00129566,0.178995525,0.008973675,0.067080366,0.006160823,0.13731486,0.002016054,0.135685221,0.001995002,0.116099564,0.000508959,0.114169361,0.000899433,0.154227584,0.01026179,0.074608602,0.005395825,0.139182623,0.021394669,0.063949894,0.00307006,0.159555757,0.012832298,0.051412665,0.00873947,0.1943605485963262,0.0075379941848113,0.0802429803321864,0.0088009127431994,0.1811893916352499,0.0083846938333359,0.0796293936347459,0.0099166683013362
AdaBoostClassifier(learning_rate=0.1),0.136983236,0.000994609,0.135042318,0.001851216,0.114917394,0.001346277,0.112750755,0.000321414,0.189030313,0.006882477,0.068961245,0.012478594,0.123036702,0.001075309,0.121419271,0.002253343,0.102098968,0.000825447,0.101014641,0.001806459,0.211592893,0.014902292,0.072099977,0.006916882,0.218811669,0.010372956,0.070843304,0.00842852,0.193099753,0.012426997,0.053923651,0.006253859,0.22130791465965,0.0215202005793497,0.0821297594268156,0.0043958692287132,0.2184895446518459,0.0148880669998899,0.0689695047411372,0.0088945497976253
AdaBoostClassifier(learning_rate=0.5),0.151114909,0.000205314,0.149279785,0.000984011,0.124331969,0.000622326,0.121890169,0.001201663,0.193102995,0.006608466,0.079624674,0.001809143,0.139890544,0.002795283,0.137463379,0.003449662,0.118908243,0.000266089,0.116790528,0.000917356,0.194987115,0.010534026,0.07147695,0.009365057,0.172110957,0.038992101,0.053917751,0.004680189,0.171472897,0.013481409,0.059574548,0.017716654,0.213476423891337,0.0083634054829881,0.0727277232629596,0.0115219700370029,0.2188072486012774,0.0034485328487832,0.0771101482519858,0.0095430671622241
AdaBoostClassifier(learning_rate=1.5),0.127020264,0.002185047,0.125211589,0.000713482,0.112610107,0.003563961,0.109721951,0.003010053,0.140437524,0.003040077,0.062699121,0.005847377,0.128409831,0.002650802,0.127596029,0.002789876,0.110661563,0.00203169,0.109240928,0.000872962,0.144515216,0.012918274,0.070833864,0.014215616,0.141379436,0.015748737,0.056429917,0.010763936,0.136676946,0.014599027,0.062064294,0.00609721,0.1805631199353039,0.0088340350787849,0.0771030684054769,0.0185687645250136,0.1529720939224826,0.0153014334180772,0.0708444840915848,0.005787901177467
AdaBoostClassifier(learning_rate=2.0),0.074778239,0.000356253,0.074287923,0.000147946,0.079329921,0.004765083,0.07849218,0.004810214,0.118812141,0.019226631,0.063323327,0.000915786,0.073579915,0.00361738,0.072981771,0.003496646,0.070708207,0.002173613,0.070058004,0.001245083,0.127275798,0.011224651,0.072099977,0.006916882,0.139819504,0.018614566,0.057063563,0.011984137,0.13385003,0.016173084,0.061434188,0.010744221,0.1222614980536949,0.0297746339165854,0.0858820780765473,0.0217958401557941,0.1181782065700469,0.0114635610277792,0.0714734104564613,0.009208826385488
AdaBoostClassifier(n_estimators=100),0.161818441,0.000606562,0.158015951,0.001713899,0.129095309,0.001112105,0.125852488,0.002525524,0.154857982,0.017034215,0.073989116,0.010054003,0.150323486,0.003564467,0.147806803,0.003509945,0.128182184,0.000556317,0.124682549,0.002178739,0.15140332,0.024490896,0.066457339,0.006917159,0.155808147,0.020236796,0.058940902,0.017814539,0.147955142,0.016332392,0.067716372,0.008165083,0.1874606554014387,0.0115272148513907,0.0771325677659308,0.0187627300713305,0.1699120802948104,0.0138354753598845,0.0702249975220537,0.0064578058405627
AdaBoostClassifier(n_estimators=200),0.161352539,0.001996164,0.158532715,0.002055523,0.134857388,0.001073053,0.131816341,0.001695026,0.150790016,0.019854104,0.068971865,0.007789196,0.153554281,0.001788378,0.151127116,0.002237615,0.12704893,0.000929633,0.123003035,0.00183895,0.133540872,0.006621571,0.068955345,0.011876096,0.136684314,0.02664237,0.070219098,0.00385582,0.148593792,0.011974128,0.060826501,0.014648797,0.175544104852913,0.0114557098232666,0.0846442849119031,0.0081749923811884,0.1692769671120416,0.007974257623011,0.074600342664571,0.0093255702203614
AdaBoostClassifier(n_estimators=400),0.154561361,0.001516379,0.15152181,0.001970099,0.135275219,0.001662693,0.131208952,0.000884805,0.149523326,0.015270965,0.068338218,0.00998334,0.148120117,0.00094308,0.144470215,0.000774032,0.128477724,0.001745179,0.122668783,0.001416808,0.251070998,0.068620963,0.063309167,0.015640373,0.142324886,0.015295177,0.055172064,0.003857163,0.144198985,0.003878286,0.061441268,0.004678996,0.1605118157576443,0.0305487014033931,0.0783715409049931,0.0093914123170347,0.1404366395763633,0.0051645813046394,0.066457339204886,0.0008583873924702
GaussianNB(),0.097311401,0.000222994,0.097420247,0.000933091,0.087854804,0.000307524,0.087611232,0.001068799,0.0830721,0.003996097,0.07460815,0.013358794,0.093752035,0.000273821,0.093326823,0.001078664,0.088888187,0.000252269,0.088675192,0.000410493,0.090595611,0.007395063,0.073354232,0.016179922,0.40407168,0.00810224,0.074600343,0.011680412,0.400629101,0.009401324,0.058307256,0.007674014,0.0871487278874514,0.0082984442713827,0.0733578296022542,0.0041294596887126,0.0946695878925913,0.0028646280940715,0.0783609211352297,0.0114691234808842
KNeighborsClassifier(n_jobs=-2),0.978542074,0.000579895,0.945833333,0.000761699,0.881089718,0.000385911,0.735340035,0.001273689,0.312536692,0.007779893,0.074606243,0.003151237,0.967531331,0.00025177,0.914591471,0.001612078,0.826848371,0.001054428,0.618529129,0.000619967,0.326333237,0.007604046,0.065831953,0.001587078,0.2971811,0.006667218,0.062703841,0.009058697,0.303452363,0.00984646,0.069604331,0.013457713,0.3106543404607473,0.0091514147402702,0.0739796761206217,0.0035131181596287,0.3115983161101248,0.0111796849752975,0.0808766265947354,0.0070202827657685
"KNeighborsClassifier(n_jobs=-2, n_neighbors=1)",1.0,0.0,0.982035319,0.000190767,1.0,0.0,0.865843761,0.00075112,1.0,0.0,0.07335783,0.00412946,1.0,0.0,0.972147624,0.000337164,1.0,0.0,0.782492427,0.001305453,1.0,0.0,0.072730083,0.007599114,1.0,0.0,0.048262134,0.01550237,1.0,0.0,0.07335547,0.004082951,1.0,0.0,0.0771172280984948,0.0040840927781127,1.0,0.0,0.0827610457405283,0.0041112764112853
"KNeighborsClassifier(n_jobs=-2, n_neighbors=13)",0.936663818,0.000664265,0.906351725,0.001270522,0.755689715,0.000547389,0.636237259,0.001270712,0.217242011,0.002095943,0.080877807,0.013813098,0.910015869,0.000293646,0.865226237,0.0016332,0.677776371,0.000847009,0.516120352,0.000574099,0.214416863,0.007701998,0.069593711,0.001590001,0.217867104,0.012975957,0.054537238,0.010030217,0.208774229,0.00731143,0.053924831,0.00942055,0.2231985184032517,0.0065664088110408,0.0652148261425692,0.0128507845322107,0.227589493489132,0.0078858658202102,0.0633268670735218,0.0088920196187928
"KNeighborsClassifier(n_jobs=-2, n_neighbors=139)",0.69417724609375,0.0002251416961109,0.6766764322916666,0.0003277511485286,0.4138705566946803,0.0003010232407182,0.3802397678196447,0.002093050201665,0.1009381992139332,0.0088751502851837,0.067709292062548,0.0066675569361247,0.6660441080729167,0.0004784246172182,0.64605712890625,0.0015427614225653,0.3509259692097815,0.0009556657327881,0.312847769630377,0.0018571066324903,0.0990593841140952,0.0008656882810372,0.053292364621535,0.0017968829279125,0.0996856558140412,0.0053600457529609,0.0689742246388098,0.0098205103325234,0.1062722658009086,0.0069505259794479,0.0520404117638729,0.0049652114924777,0.1100343167419961,0.0077197131578423,0.0677246317299841,0.0151915866841096,0.1003160535393045,0.0060057044625528,0.0608158815116888,0.0077313398831443
