k,Train_mean,Train_std,Test_mean,Test_std
1,1.0,0.0,0.8217245971138951,0.0
5,0.8511853805971453,0.0,0.7109954615865424,0.0
9,0.7821240762417233,0.0,0.6628529499687474,0.0
13,0.7346214993273816,0.0,0.6315324618854798,0.0
17,0.6998316998316998,0.0,0.607929994293013,0.0
21,0.6721174956469074,0.0,0.5892735820854961,0.0
25,0.6495047083282377,0.0,0.5738375411038943,0.0
29,0.6304559245735716,0.0,0.5603174171807485,0.0
33,0.6152564976094388,0.0,0.5485093893523929,0.0
37,0.6015071309188956,0.0,0.5382232247194064,0.0
41,0.5887128240069417,0.0,0.5299073294018534,0.0
45,0.5775432834256363,0.0,0.520694621844172,0.0
49,0.5666940372822725,0.0,0.5140092942359431,0.0
