Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Label,Stage
8.0,0,4256.6665039063,4241.6665039063,4198.9741210938,4268.8461914063,4241.1538085938,4246.1538085938,4152.9487304688,4282.3076171875,4285.384765625,4252.4360351563,4316.41015625,4272.4360351563,4263.8461914063,4364.8715820313,4267.0512695313,4243.58984375,m,articulators
8.0078125,0,4158.205078125,4274.4873046875,4244.1025390625,4247.3076171875,4196.2822265625,4296.794921875,4310.2563476563,4253.4614257813,4308.8461914063,4281.41015625,4281.9228515625,4417.8203125,4260.0,4241.0258789063,4130.2563476563,4270.0,m,articulators
8.015625,0,4242.6923828125,4246.1538085938,4156.6665039063,4279.4873046875,4283.58984375,4246.2822265625,4270.5126953125,4271.6665039063,4258.0771484375,4368.205078125,4258.7177734375,4241.1538085938,4251.41015625,4267.6923828125,4240.1284179688,4246.5385742188,m,articulators
8.0234375,0,4128.8461914063,4280.2563476563,4283.7177734375,4254.3588867188,4327.5639648438,4277.5639648438,4262.3076171875,4349.7436523438,4264.8715820313,4245.0,4319.3588867188,4272.9487304688,4240.6411132813,4246.2822265625,4163.3334960938,4296.5385742188,m,articulators
8.03125,0,4306.0258789063,4248.58984375,4393.4614257813,4282.8203125,4282.3076171875,4404.1025390625,4259.3588867188,4245.2563476563,4200.2563476563,4271.9228515625,4242.5639648438,4242.1796875,4174.1025390625,4283.4614257813,4287.0512695313,4243.205078125,m,articulators
8.0390625,0,4333.8461914063,4272.5639648438,4267.1796875,4391.1538085938,4260.7690429688,4246.794921875,4132.0512695313,4272.3076171875,4242.8203125,4242.0512695313,4175.0,4284.2309570313,4288.7177734375,4251.6665039063,4301.794921875,4273.58984375,m,articulators
8.046875,0,4333.8461914063,4272.5639648438,4267.1796875,4391.1538085938,4260.7690429688,4246.794921875,4132.0512695313,4272.3076171875,4242.8203125,4242.0512695313,4175.0,4284.2309570313,4288.7177734375,4251.6665039063,4301.794921875,4273.58984375,m,articulators
8.0546875,0,4333.8461914063,4272.5639648438,4267.1796875,4391.1538085938,4260.7690429688,4246.794921875,4132.0512695313,4272.3076171875,4242.8203125,4242.0512695313,4175.0,4284.2309570313,4288.7177734375,4251.6665039063,4301.794921875,4273.58984375,m,articulators
8.0625,0,4333.8461914063,4272.5639648438,4267.1796875,4391.1538085938,4260.7690429688,4246.794921875,4132.0512695313,4272.3076171875,4242.8203125,4242.0512695313,4175.0,4284.2309570313,4288.7177734375,4251.6665039063,4301.794921875,4273.58984375,m,articulators
8.0703125,0,4333.8461914063,4272.5639648438,4267.1796875,4391.1538085938,4260.7690429688,4246.794921875,4132.0512695313,4272.3076171875,4242.8203125,4242.0512695313,4175.0,4284.2309570313,4288.7177734375,4251.6665039063,4301.794921875,4273.58984375,m,articulators
8.078125,0,4267.5639648438,4387.1796875,4260.7690429688,4248.7177734375,4144.2309570313,4271.1538085938,4243.4614257813,4244.3588867188,4124.615234375,4287.1796875,4290.2563476563,4250.1284179688,4291.0258789063,4275.6411132813,4265.6411132813,4370.1284179688,m,articulators
8.0859375,0,4259.615234375,4247.4360351563,4232.0512695313,4269.3588867188,4244.3588867188,4242.9487304688,4143.7177734375,4282.5639648438,4288.0771484375,4247.6923828125,4318.4614257813,4276.5385742188,4262.5639648438,4361.9228515625,4256.41015625,4242.6923828125,m,articulators
8.09375,0,4238.8461914063,4265.6411132813,4244.2309570313,4241.2822265625,4181.5385742188,4275.0,4277.1796875,4246.9228515625,4335.2563476563,4266.794921875,4255.6411132813,4358.9741210938,4254.1025390625,4242.6923828125,4162.6923828125,4265.2563476563,m,articulators
8.1015625,0,4244.8715820313,4242.3076171875,4127.0512695313,4271.5385742188,4265.7690429688,4251.794921875,4285.8974609375,4264.4873046875,4250.8974609375,4334.615234375,4261.6665039063,4248.4614257813,4199.7436523438,4271.2822265625,4243.8461914063,4244.4873046875,m,articulators
8.109375,0,4132.6923828125,4283.8461914063,4286.41015625,4253.205078125,4280.2563476563,4276.41015625,4267.9487304688,4359.8715820313,4252.6923828125,4245.1284179688,4191.1538085938,4262.8203125,4240.7690429688,4245.0,4137.0512695313,4265.384765625,m,articulators
8.1171875,0,4260.384765625,4243.4614257813,4247.8203125,4265.2563476563,4247.0512695313,4321.9228515625,4247.5639648438,4241.41015625,4147.0512695313,4260.0,4240.7690429688,4246.41015625,4158.4614257813,4256.0258789063,4244.3588867188,4250.0,m,articulators
