Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Event Id,Event Date,Event Duration
8.0000000000,0,4243.0771484375,4246.4101562500,4241.2822265625,4254.3588867188,4251.4101562500,4247.3076171875,4194.8715820313,3504.3588867188,4241.0258789063,4247.4360351563,4247.6923828125,4243.0771484375,4241.9228515625,4241.9228515625,4242.6923828125,4245.6411132813,,,
8.0039062500,0,4244.4873046875,4254.6152343750,4252.6923828125,4247.0512695313,4195.2563476563,3505.0000000000,4239.8715820313,4246.0258789063,4247.4360351563,4241.9228515625,4241.5385742188,4242.6923828125,4241.9228515625,4244.8715820313,4245.7690429688,4254.7436523438,,,
8.0078125000,0,4251.4101562500,4246.0258789063,4194.8715820313,3505.2563476563,4240.7690429688,4244.3588867188,4245.6411132813,4240.7690429688,4242.1796875000,4243.7177734375,4241.5385742188,4243.9741210938,4243.8461914063,4255.2563476563,4248.8461914063,4244.4873046875,,,
8.0117187500,0,4193.9741210938,3504.8718261719,4242.5639648438,4243.5898437500,4244.1025390625,4240.7690429688,4243.7177734375,4244.1025390625,4241.4101562500,4243.5898437500,4241.4101562500,4256.1538085938,4247.5639648438,4243.5898437500,4193.2050781250,3503.9743652344,,,
8.0156250000,0,4243.3334960938,4243.7177734375,4244.2309570313,4241.7949218750,4244.8715820313,4243.2050781250,4241.4101562500,4244.7436523438,4241.4101562500,4257.3076171875,4248.4614257813,4243.8461914063,4193.2050781250,3503.8461914063,4241.9228515625,4244.1025390625,,,
8.0195312500,0,4245.7690429688,4243.2050781250,4244.8715820313,4241.9228515625,4241.0258789063,4246.6665039063,4243.7177734375,4257.5639648438,4250.2563476563,4244.6152343750,4193.4614257813,3504.3588867188,4239.1025390625,4244.3588867188,4246.7949218750,4243.8461914063,,,
8.0234375000,0,4244.3588867188,4241.6665039063,4240.5126953125,4247.4360351563,4245.8974609375,4256.5385742188,4250.3847656250,4244.7436523438,4193.4614257813,3505.1281738281,4236.9228515625,4244.6152343750,4246.2822265625,4243.5898437500,4243.8461914063,4242.8203125000,,,
8.0273437500,0,4240.0000000000,4246.2822265625,4246.0258789063,4254.6152343750,4248.2050781250,4243.8461914063,4193.3334960938,3505.3845214844,4236.5385742188,4245.1284179688,4244.2309570313,4242.8203125000,4243.5898437500,4244.3588867188,4239.6152343750,4244.7436523438,,,
8.0312500000,0,4245.7690429688,4253.0771484375,4245.3847656250,4242.8203125000,4193.9741210938,3505.0000000000,4238.0771484375,4245.6411132813,4242.1796875000,4242.1796875000,4242.9487304688,4245.1284179688,4239.6152343750,4244.6152343750,4246.9228515625,4252.6923828125,,,
8.0351562500,0,4244.6152343750,4242.3076171875,4195.2563476563,3504.1025390625,4240.5126953125,4245.7690429688,4241.2822265625,4241.6665039063,4242.0512695313,4244.6152343750,4239.8715820313,4246.1538085938,4248.8461914063,4253.4614257813,4246.5385742188,4242.4360351563,,,
