Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Label,Stage
8.0,0,1080.3846435547,7050.0,1695.2563476563,6043.3334960938,1881.6666259766,6077.9487304688,8293.0771484375,1869.3590087891,1647.9487304688,7718.7177734375,6465.7690429688,6913.3334960938,6672.8203125,2575.1281738281,5522.0512695313,5750.0,v,articulators
8.0078125,0,2750.8974609375,5973.0771484375,758.8461303711,2468.4614257813,5650.8974609375,4909.2309570313,4826.0258789063,5126.9228515625,5231.2822265625,2993.7180175781,4261.0258789063,7488.8461914063,1697.3077392578,949.8717651367,176.9230651855,5407.3076171875,v,articulators
8.015625,0,6914.3588867188,5424.7436523438,4484.8715820313,6860.5126953125,2860.3845214844,5569.4873046875,4735.2563476563,3238.9743652344,3074.7436523438,6354.2309570313,7309.7436523438,4994.4873046875,7540.6411132813,4003.9743652344,1543.0769042969,6688.7177734375,v,articulators
8.0234375,0,1746.794921875,7030.5126953125,6660.384765625,8217.6923828125,7587.4360351563,7697.3076171875,1537.9487304688,6768.3334960938,1834.4871826172,3797.5642089844,3481.2819824219,4806.0258789063,3558.4614257813,2886.794921875,4296.5385742188,4825.0,v,articulators
8.03125,0,3702.0512695313,5655.2563476563,7756.794921875,261.282043457,7653.7177734375,1196.5384521484,7039.1025390625,4071.9230957031,3854.6154785156,3020.7692871094,3317.1794433594,4698.3334960938,1153.7178955078,6644.3588867188,6850.7690429688,8285.1279296875,v,articulators
8.0390625,0,7605.2563476563,4213.205078125,3586.9230957031,5154.4873046875,4204.4873046875,2201.9230957031,6632.9487304688,4848.9741210938,201.1538391113,4638.0771484375,6179.7436523438,4315.384765625,6072.4360351563,216.4102478027,6665.1284179688,4956.41015625,v,articulators
8.046875,0,7840.2563476563,7485.0,1282.5640869141,733.717956543,3516.9230957031,7667.4360351563,7933.0771484375,481.282043457,6275.7690429688,3698.0769042969,5731.2822265625,6025.6411132813,3789.7436523438,7787.9487304688,2063.205078125,3752.1794433594,v,articulators
8.0546875,0,6852.8203125,3705.3845214844,447.9486999512,5779.2309570313,3684.7436523438,1107.0512695313,5132.0512695313,7988.0771484375,383.2051086426,4558.4614257813,2533.8461914063,1272.5640869141,5358.58984375,6393.9741210938,3373.8461914063,7095.0,v,articulators
8.0625,0,5114.1025390625,4148.7177734375,4734.2309570313,4442.1796875,1987.0512695313,1212.8205566406,2708.8461914063,3243.8461914063,5283.9741210938,3059.6154785156,544.1025390625,5105.6411132813,7598.3334960938,7284.8715820313,7694.615234375,5092.1796875,v,articulators
8.0703125,0,7079.2309570313,5721.6665039063,2093.9743652344,6903.0771484375,3702.1794433594,1791.794921875,4874.2309570313,5124.3588867188,2245.0,510.6410217285,4138.7177734375,5951.41015625,3602.5642089844,8266.6669921875,3301.794921875,5219.8715820313,v,articulators
