Time:256Hz,Epoch,Oscillator 1,Oscillator 2,Oscillator 3,Oscillator 4,Label,Stage
5.0,0,0.631010592,0.4279404581,-1.8666075468,-0.5493975282,p,stimuli
5.00390625,0,0.6146158576,0.0274794996,-2.0475642681,0.6214635968,p,stimuli
5.0078125,0,0.5293284059,-0.3318026364,-1.6331118345,1.4324402809,p,stimuli
5.01171875,0,0.3791821301,-0.5203151703,-0.9000880718,1.20723629,p,stimuli
5.015625,0,0.172781229,-0.4565371871,-0.3062626123,0.2966683507,p,stimuli
5.01953125,0,-0.0772931278,-0.1295609474,-0.2153191715,-0.2819813788,p,stimuli
5.0234375,0,-0.355353415,0.3977319896,-0.678386569,0.1151113212,p,stimuli
5.02734375,0,-0.6436932683,1.0057337284,-1.4029450417,1.1010775566,p,stimuli
5.03125,0,-0.923815906,1.5507370234,-1.9277369976,1.6549357176,p,stimuli
5.03515625,0,-1.1777176857,1.904186368,-1.8989599943,1.1669466496,p,stimuli
5.0390625,0,-1.3891376257,1.9877953529,-1.2823673487,0.0651488975,p,stimuli
5.04296875,0,-1.5446859598,1.7949076891,-0.3842780888,-0.6168751717,p,stimuli
5.046875,0,-1.6347714663,1.3922483921,0.3310960233,-0.2898117006,p,stimuli
5.05078125,0,-1.6542658806,0.9015851617,0.5186396241,0.5958078504,p,stimuli
5.0546875,0,-1.602855444,0.4663261771,0.1578090936,1.0162073374,p,stimuli
5.05859375,0,-1.4850590229,0.2122102082,-0.436414957,0.4264168739,p,stimuli
5.0625,0,-1.3099074364,0.2128614932,-0.8036292195,-0.6767998338,p,stimuli
5.06640625,0,-1.0903099775,0.4696500003,-0.6153081656,-1.2562291622,p,stimuli
5.0703125,0,-0.8421497345,0.9113763571,0.1267652959,-0.788041234,p,stimuli
5.07421875,0,-0.5831729174,1.4138669968,1.089786768,0.2077591121,p,stimuli
5.078125,0,-0.3317472339,1.8341084719,1.8073959351,0.7017687559,p,stimuli
5.08203125,0,-0.1055784151,2.0495641232,1.9571233988,0.2086253762,p,stimuli
5.0859375,0,0.0795275047,1.991897583,1.5517290831,-0.7163769603,p,stimuli
5.08984375,0,0.2107687593,1.6658571959,0.9299020171,-1.0446677208,p,stimuli
5.09375,0,0.2792427242,1.1481466293,0.5519217253,-0.3263814449,p,stimuli
5.09765625,0,0.2805685103,0.5665872693,0.7226639986,0.8473592997,p,stimuli
5.1015625,0,0.2151939422,0.0652829856,1.407830596,1.4440273046,p,stimuli
5.10546875,0,0.0883653611,-0.2346677631,2.2534627914,1.0390096903,p,stimuli
5.109375,0,-0.0902374014,-0.2681471109,2.7970743179,0.243315205,p,stimuli
5.11328125,0,-0.3071756363,-0.043644242,2.7440011501,0.0731226876,p,stimuli
5.1171875,0,-0.5461888909,0.3592951298,2.1435117722,0.9052014947,p,stimuli
5.12109375,0,-0.7893291712,0.8120954633,1.3592356443,2.085144043,p,stimuli
5.125,0,-1.0182130337,1.1726150513,0.8516167998,2.5887258053,p,stimuli
5.12890625,0,-1.2153048515,1.3243249655,0.9026453495,2.0612881184,p,stimuli
5.1328125,0,-1.3651407957,1.2084635496,1.4476801157,1.1739991903,p,stimuli
5.13671875,0,-1.4554088116,0.8403517008,2.1150434017,0.9334128499,p,stimuli
5.140625,0,-1.4778096676,0.305395484,2.4496626854,1.6495637894,p,stimuli
5.14453125,0,-1.4286376238,-0.2641305029,2.1868269444,2.6164977551,p,stimuli
5.1484375,0,-1.3090419769,-0.7251576781,1.4121179581,2.8315761089,p,stimuli
5.15234375,0,-1.1249498129,-0.962870419,0.51172328,2.0190877914,p,stimuli
5.15625,0,-0.8866562843,-0.9220260382,-0.0571485348,0.9129028916,p,stimuli
5.16015625,0,-0.6081103086,-0.6219647527,-0.0383196324,0.5094990134,p,stimuli
5.1640625,0,-0.3059458733,-0.151197046,0.4716975689,1.0540561676,p,stimuli
5.16796875,0,0.0016732393,0.3569460511,1.0832049847,1.7948598862,p,stimuli
5.171875,0,0.2963157296,0.7609269023,1.348323226,1.7566362619,p,stimuli
5.17578125,0,0.5605630279,0.9498426914,1.0307494402,0.7429144979,p,stimuli
5.1796875,0,0.7792185545,0.8738489747,0.2487158328,-0.4563917518,p,stimuli
5.18359375,0,0.940362215,0.5578270555,-0.5944789648,-0.8644058108,p,stimuli
5.1875,0,1.0361758471,0.0945492238,-1.0507987738,-0.3076276779,p,stimuli
