Time:512Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Label,Stage
12.0,0,4169.4873046875,8071.41015625,2048.9743652344,1121.0256347656,436.5384521484,923.4615478516,589.7435913086,1374.4871826172,1468.9743652344,6772.9487304688,1556.5384521484,8260.76953125,7865.6411132813,5385.2563476563,4804.7436523438,7087.1796875,p,thinking
12.001953125,0,3855.6411132813,7854.8715820313,5519.8715820313,1841.794921875,3177.1794433594,195.6410217285,4030.7692871094,2483.0769042969,3792.4357910156,4828.0771484375,1027.6922607422,835.2564086914,5498.205078125,6915.0,3488.8461914063,5836.9228515625,p,thinking
12.00390625,0,6042.9487304688,5195.8974609375,4623.58984375,5347.0512695313,5507.6923828125,7280.1284179688,5140.5126953125,6022.4360351563,1205.1281738281,1977.6922607422,5850.2563476563,5243.205078125,490.7692260742,6222.0512695313,7769.8715820313,5398.205078125,p,thinking
12.005859375,0,4388.58984375,5801.794921875,4977.4360351563,191.6666564941,1038.0769042969,5938.7177734375,1841.9230957031,1257.3077392578,1615.8974609375,6577.0512695313,1668.8461914063,3295.5129394531,5119.3588867188,6963.4614257813,8008.3334960938,8219.359375,p,thinking
12.0078125,0,2938.205078125,8256.025390625,3606.6667480469,3955.6411132813,4459.8715820313,8103.4614257813,2564.4870605469,4695.5126953125,6333.3334960938,5638.7177734375,31.9230670929,785.8973999023,3770.6411132813,5085.0,4523.4614257813,5534.3588867188,p,thinking
12.009765625,0,7463.974609375,1079.4871826172,682.5640869141,5632.3076171875,1503.3333740234,3549.8718261719,507.0512695313,1039.7435302734,3444.6154785156,2856.1538085938,2226.9230957031,3236.5385742188,457.5640869141,3389.3588867188,997.9487304688,1830.6409912109,p,thinking
12.01171875,0,6136.5385742188,6200.384765625,7535.2563476563,5848.0771484375,7500.1284179688,250.6410217285,3462.8205566406,3995.7692871094,4766.0258789063,1710.3846435547,6056.2822265625,7722.8203125,5448.0771484375,4013.205078125,5870.7690429688,3083.9743652344,p,thinking
12.013671875,0,4784.4873046875,8075.1284179688,3350.0,3157.5642089844,3222.8205566406,131.1538391113,123.4615325928,5125.8974609375,4190.0,419.7435913086,1717.9487304688,6100.5126953125,3585.8974609375,3746.2819824219,6888.0771484375,5398.7177734375,p,thinking
12.015625,0,7311.41015625,2614.4870605469,7253.0771484375,7396.0258789063,6289.2309570313,162.8205108643,5638.205078125,6395.5126953125,316.0256347656,2368.3332519531,2253.3332519531,5376.41015625,5690.5126953125,5356.1538085938,4881.6665039063,771.4102783203,p,thinking
12.017578125,0,2032.8205566406,68.5897369385,198.9743499756,2892.4357910156,348.461517334,7331.794921875,411.6666564941,1083.9743652344,2327.3076171875,5699.7436523438,2367.6923828125,6395.7690429688,7957.5639648438,5466.794921875,1257.8205566406,7.3076834679,p,thinking
12.01953125,0,6185.2563476563,4142.5639648438,3065.1281738281,7643.4614257813,6476.1538085938,6704.615234375,5403.8461914063,5606.0258789063,6545.384765625,645.7692260742,589.7435913086,4389.1025390625,604.6153564453,1447.5640869141,5104.3588867188,4552.3076171875,p,thinking
12.021484375,0,1852.0512695313,5810.1284179688,3800.8974609375,265.2564086914,5345.384765625,327.179473877,2970.7692871094,7104.615234375,1227.6922607422,1255.0,5462.9487304688,4557.1796875,4136.1538085938,3223.7180175781,7346.1538085938,1413.205078125,p,thinking
12.0234375,0,7148.205078125,7506.5385742188,1036.794921875,1502.5640869141,640.7692260742,4497.9487304688,3771.2819824219,5026.1538085938,924.8717651367,640.3845825195,1100.7691650391,5031.794921875,8198.845703125,486.7948608398,472.9486999512,7702.3076171875,p,thinking
12.025390625,0,3001.9230957031,2085.3845214844,533.5897216797,8346.154296875,1879.7435302734,7185.1284179688,1824.1025390625,3389.4870605469,3502.0512695313,912.1795043945,2990.1281738281,3544.8718261719,331.6666564941,7752.6923828125,847.4359130859,6839.4873046875,p,thinking
12.02734375,0,8224.23046875,2803.3332519531,35.3846054077,524.7435913086,4456.9228515625,6612.9487304688,8012.3076171875,8349.7431640625,6835.5126953125,837.5640869141,7429.1025390625,7513.58984375,5424.615234375,902.6923217773,1725.0,454.7435913086,p,thinking
12.029296875,0,2679.2307128906,3541.794921875,7468.3334960938,3576.2819824219,6751.6665039063,2323.9743652344,5710.8974609375,2601.1538085938,5945.7690429688,7443.0771484375,1524.1025390625,6249.3588867188,3446.5385742188,1263.0769042969,5916.1538085938,152.8205108643,p,thinking
12.03125,0,2253.3332519531,2634.8718261719,789.2307739258,7165.5126953125,692.1795043945,1438.7178955078,5334.3588867188,42.3076820374,5240.1284179688,4170.384765625,5475.0,8094.615234375,2388.3332519531,1351.0256347656,5522.6923828125,8236.41015625,p,thinking
12.033203125,0,2093.0769042969,2981.2819824219,3710.6411132813,8244.359375,1120.7691650391,1804.3590087891,712.1795043945,5034.615234375,2658.8461914063,5073.8461914063,6014.3588867188,674.2307739258,5869.7436523438,658.0769042969,6775.384765625,3383.8461914063,p,thinking
12.03515625,0,7447.6923828125,3330.0,8391.6669921875,835.0,6133.7177734375,4117.8203125,7006.1538085938,2717.6923828125,2457.6923828125,4019.2307128906,4092.3076171875,8093.3334960938,4711.0258789063,2509.6154785156,6587.9487304688,7314.615234375,p,thinking
12.037109375,0,5778.205078125,4203.9741210938,6011.2822265625,30.5128116608,5024.4873046875,1546.2821044922,1218.5897216797,5872.9487304688,4486.2822265625,5134.4873046875,174.230758667,505.6410217285,800.7692260742,6867.3076171875,4310.2563476563,3812.3076171875,p,thinking
12.0390625,0,5428.0771484375,8172.3076171875,7645.6411132813,6260.6411132813,6183.205078125,1256.4102783203,8390.76953125,6344.4873046875,5921.9228515625,3711.1538085938,2158.4614257813,6970.384765625,2060.0,2076.2819824219,6283.0771484375,4045.7692871094,p,thinking
12.041015625,0,4115.5126953125,4104.3588867188,1278.8461914063,7204.3588867188,2518.3332519531,5015.8974609375,3305.6411132813,4424.8715820313,1828.4615478516,7562.3076171875,3520.3845214844,8164.615234375,6812.4360351563,722.3076782227,7652.4360351563,3012.5642089844,p,thinking
12.04296875,0,5365.6411132813,921.5384521484,2378.4614257813,5321.41015625,3803.9743652344,22.0512733459,1598.8461914063,8030.5126953125,5342.9487304688,5090.1284179688,7506.5385742188,8227.8203125,3879.7436523438,1514.2307128906,7997.3076171875,550.0,p,thinking
12.044921875,0,6969.1025390625,2746.0256347656,425.5128173828,3606.1538085938,1950.2563476563,7845.5126953125,6738.58984375,7371.41015625,2668.58984375,7356.1538085938,3842.6923828125,3648.0769042969,3422.8205566406,7243.4614257813,7219.2309570313,4237.8203125,p,thinking
12.046875,0,4737.4360351563,7252.4360351563,4703.205078125,2737.8205566406,1717.8205566406,5843.4614257813,6839.615234375,7062.4360351563,5340.2563476563,1385.2563476563,2450.2563476563,548.2051391602,64.3589630127,367.6922912598,4903.7177734375,2787.6923828125,p,thinking
12.048828125,0,7288.3334960938,469.6153869629,945.0,377.9486999512,4103.0771484375,111.7948608398,6422.9487304688,5380.2563476563,783.2051391602,3835.0,2750.6411132813,2723.205078125,5136.9228515625,2377.8205566406,3799.4870605469,1834.4871826172,p,thinking
12.05078125,0,7321.9228515625,395.6410217285,8070.2563476563,380.5128173828,6604.615234375,588.5897216797,1594.7435302734,6650.6411132813,6156.5385742188,7708.3334960938,3156.0256347656,7527.3076171875,4090.0,7209.615234375,3915.2563476563,2668.8461914063,p,thinking
12.052734375,0,7495.5126953125,6311.9228515625,1856.4102783203,2358.3332519531,1217.9487304688,6498.58984375,673.4615478516,600.6409912109,1945.0,2894.4870605469,1404.2307128906,4967.8203125,6951.2822265625,2570.0,6453.8461914063,8230.8974609375,p,thinking
12.0546875,0,7900.8974609375,760.7692260742,3127.8205566406,802.4359130859,6324.615234375,835.0,3237.5642089844,1899.2307128906,5252.1796875,5580.2563476563,2309.2307128906,4950.0,8288.3330078125,737.1795043945,2611.6667480469,7260.6411132813,p,thinking
12.056640625,0,1361.2821044922,840.1281738281,1635.8974609375,3134.8718261719,7723.4614257813,3720.7692871094,1206.6666259766,1968.5897216797,207.3076782227,1587.0512695313,8031.5385742188,1239.1025390625,6891.2822265625,301.1538391113,1807.9487304688,5527.8203125,p,thinking
12.05859375,0,783.2051391602,4251.0258789063,3771.9230957031,486.1538391113,3643.9743652344,6453.3334960938,4758.8461914063,3478.9743652344,2876.6667480469,1833.205078125,3463.8461914063,2095.3845214844,6848.9741210938,6275.7690429688,3471.1538085938,481.5384521484,p,thinking
12.060546875,0,6113.0771484375,2378.58984375,1376.0256347656,6599.615234375,3630.7692871094,2127.4357910156,684.8717651367,1745.0,1832.4359130859,8093.58984375,227.0512695313,1607.0512695313,807.3076782227,3443.8461914063,1044.3590087891,2117.5642089844,p,thinking
12.0625,0,5456.2822265625,3855.2563476563,7491.0258789063,1146.1538085938,8399.7431640625,8007.9487304688,2570.2563476563,2237.1794433594,5815.8974609375,6178.8461914063,4563.8461914063,6671.1538085938,5487.9487304688,6099.1025390625,4722.6923828125,447.6922912598,p,thinking
12.064453125,0,6270.384765625,3748.0769042969,4316.6665039063,3861.5385742188,5081.41015625,4596.9228515625,485.2564086914,1790.0,1402.9487304688,665.5128173828,2302.4357910156,1155.2563476563,6337.4360351563,1196.6666259766,3350.3845214844,7195.384765625,p,thinking
12.06640625,0,5261.2822265625,538.4615478516,8281.9228515625,8304.615234375,3123.8461914063,148.7179412842,7318.974609375,6662.4360351563,4657.5639648438,2996.5385742188,7564.7436523438,6216.1538085938,5255.0,1257.4359130859,3767.6923828125,5890.6411132813,p,thinking
12.068359375,0,6287.3076171875,1580.6409912109,2451.0256347656,6426.2822265625,1680.2563476563,5091.0258789063,7188.58984375,450.8974304199,460.3846130371,1271.794921875,1149.6153564453,7832.0512695313,6273.3334960938,279.3589782715,506.1538391113,6413.205078125,p,thinking
12.0703125,0,6167.3076171875,2266.0256347656,600.6409912109,3244.2307128906,5986.9228515625,7363.205078125,2962.8205566406,7718.974609375,935.8973999023,4854.8715820313,8364.23046875,5175.6411132813,54.3589668274,7244.8715820313,3575.1281738281,1131.9230957031,p,thinking
12.072265625,0,2777.4357910156,3057.8205566406,945.8973999023,7441.0258789063,8398.845703125,8198.3330078125,1929.4871826172,1974.6153564453,136.0256347656,1110.8974609375,5692.0512695313,1498.3333740234,2474.6154785156,6976.41015625,8119.2309570313,2729.2307128906,p,thinking
12.07421875,0,6307.0512695313,664.8717651367,5598.9741210938,603.3333129883,7742.4360351563,4243.8461914063,6808.4614257813,5057.1796875,925.5128173828,7051.9228515625,623.9743652344,1940.2563476563,5579.4873046875,3802.3076171875,4777.4360351563,7769.4873046875,p,thinking
12.076171875,0,5638.9741210938,5455.6411132813,119.4871673584,6730.0,4303.7177734375,2535.0,8084.3588867188,631.6666870117,2113.58984375,7633.974609375,8369.7431640625,4851.5385742188,7291.9228515625,6032.3076171875,6439.8715820313,1565.7691650391,p,thinking
12.078125,0,6819.2309570313,4142.0512695313,6366.1538085938,4285.0,482.5640869141,5180.0,4186.1538085938,3943.205078125,993.9743652344,1286.0256347656,1997.4359130859,5406.9228515625,5723.7177734375,7449.2309570313,7608.0771484375,7935.7690429688,p,thinking
12.080078125,0,2057.9487304688,7281.794921875,3184.4870605469,3878.7180175781,1135.0,2209.6154785156,1000.3845825195,7202.5639648438,3172.1794433594,5348.3334960938,7511.41015625,5155.384765625,3245.1281738281,4557.4360351563,7228.4614257813,2599.7436523438,p,thinking
