Time:128Hz,Epoch,Oscillator 1,Oscillator 2,Oscillator 3,Oscillator 4,Oscillator 5,Oscillator 6,Oscillator 7,Oscillator 8,Oscillator 9,Oscillator 10,Oscillator 11,Oscillator 12,Oscillator 13,Oscillator 14,Oscillator 15,Oscillator 16,Event Id,Event Date,Event Duration
12.0000000000,0,-1.7113596201,-0.8696647882,2.5555262566,-0.2426802665,-0.5651106834,-1.8224706650,2.1180324554,0.0398620628,-0.1367767900,-1.1500451565,0.5541512966,0.6070536971,-0.5154362321,0.5056684017,-0.8287136555,0.6294924617,,,
12.0078125000,0,-1.5937142372,-1.8666075468,1.3210594654,0.9991695881,1.6649166346,-2.0375349522,-0.3779996037,-1.0575658083,1.8290814161,0.0247388389,0.3110631704,-0.8100477457,-0.0969454199,0.2311912626,-0.5245984793,0.5481168628,,,
12.0156250000,0,-1.2286452055,-1.9682410955,-0.0420166962,-0.5781137347,0.7422451377,-1.6208665371,0.6007064581,-0.0960966274,2.8996617794,0.6297226548,0.8416314125,-1.7205191851,-0.4206176996,-0.4822261035,0.0271325577,-0.7662452459,,,
12.0234375000,0,-0.7170232534,-1.1523816586,0.5927975178,0.3150479496,1.5044468641,-1.0560977459,-0.0391731970,-1.6480840445,1.3315964937,0.0015870199,1.5733585358,-1.3268477917,-0.1605276912,-1.2158492804,1.1364699602,0.5558190346,,,
12.0312500000,0,-0.1976927817,-0.3062626123,1.2077687979,1.0739425421,2.0552270412,-0.4041751027,-0.3368290961,-2.7600889206,-0.5796052814,-1.3570212126,1.5521212816,-0.2644062936,1.2923161983,-1.0065829754,1.1387045383,0.0446528234,,,
12.0390625000,0,0.1904930621,-0.3164055943,-0.2030420750,-0.8539054990,0.6003903151,0.3340172768,1.5727534294,-0.6407712102,-0.3392865658,-2.2297904491,0.4640319347,0.1978831142,2.7138950825,-0.1356554627,0.0716968253,-2.9416205883,,,
12.0468750000,0,0.3466200233,-1.1603299379,-1.5001811981,-0.1244678721,2.0400562286,0.5239356756,0.0785729885,-0.4015849233,0.7389360666,-1.7600728273,-0.9752300382,-0.3183138072,2.4803888798,-0.0320299678,0.4244428873,-0.6952386498,,,
12.0546875000,0,0.2352436632,-1.9277369976,-0.7096759081,0.3709100783,-0.4422789812,0.8655130267,1.9293439388,-0.5232625008,0.4437723160,-0.1995241940,-1.6741552353,-0.8664349914,0.6694625616,-0.9802324772,1.6293028593,1.1740002632,,,
12.0625000000,0,-0.1040406823,-1.7496129274,-0.0028085250,-1.5502761602,0.4607476592,0.3292841315,0.5209707618,1.7803453207,-0.2901203334,1.3124451637,-1.2116256952,-0.3441914916,-1.0009981394,-1.2727226019,0.3947713077,-0.6244681478,,,
12.0703125000,0,-0.5676099062,-0.6865099669,-1.2430194616,-0.5714014173,-0.9729570746,0.3884489536,-0.1635910422,1.4358903170,0.2718980610,1.7279196978,-0.2228032947,1.1312479973,-1.3204936981,0.3472788632,-2.1186821461,0.2484145314,,,
12.0781250000,0,-1.0163880587,0.3310960233,-2.1712145805,0.0812563226,-1.5717058182,-0.4230442345,-0.0490878746,-0.2422153652,0.8018245697,0.9646464586,0.2616057098,2.2880830765,-0.9400720000,2.3917810917,-1.6117492914,1.0033755302,,,
12.0859375000,0,-1.3141503334,0.4495379329,-0.9996736646,-1.4579536915,-0.8248870969,-0.0214163437,-2.5069282055,0.8187043071,-0.7246416211,-0.0769430697,-0.1495184749,2.1406393051,-1.1712238789,2.3012075424,0.6877297759,0.9472474456,,,
12.0937500000,0,-1.3650567532,-0.2408767939,-0.0593193881,0.0155332210,-2.5313978195,-0.5134773850,-0.9405740499,0.3786509335,-2.7721362114,-0.3440513313,-0.8455899358,1.1057722569,-1.9669520855,0.0908367485,0.0365131907,1.8156169653,,,
12.1015625000,0,-1.1401267052,-0.8036292195,-1.0718672276,0.9181824327,-0.3986693323,0.5838273764,-2.2979135513,-0.8372902274,-2.4184968472,0.4351579547,-0.8840067983,0.4774377346,-1.9148947001,-1.4042943716,-2.1225876808,-0.6786804199,,,
12.1093750000,0,-0.6853963733,-0.4186552465,-1.6735248566,-0.3058085442,-1.7858213186,0.4109335244,-1.1393425465,1.2505123615,-0.3395963609,1.5292481184,0.0008180426,0.8892009854,-0.2721213698,-0.4050503075,-0.7629676461,-1.6348477602,,,
12.1171875000,0,-0.1095209569,0.7733479738,-0.2671974599,1.4164421558,-0.2570956349,1.8308445215,-0.0175852906,1.9736722708,0.4511668682,1.8672392368,1.0859946012,1.5921705961,1.7756738663,1.2657698393,2.3882246017,1.0111701488,,,
12.1250000000,0,0.4457817376,1.8073959351,0.6817709804,2.1953921318,-0.1348461360,1.3598599434,-0.8641905189,0.7064445615,-0.2599198520,0.9889710546,1.3707664013,1.4011919498,2.4296016693,0.7680169344,1.9153705835,-0.7497161031,,,
12.1328125000,0,0.8443488479,1.8723623753,-0.3780969679,0.8448550701,-0.6115001440,2.4220380783,1.2037031651,1.7314873934,-0.2000023276,-0.5509341955,0.5897694826,0.1746597290,1.4624105692,-1.6384880543,-0.6764101386,-2.3980791569,,,
