Time:256Hz,Epoch,Oscillator 1,Oscillator 2,Oscillator 3,Oscillator 4,Event Id,Event Date,Event Duration
12.0000000000,0,-0.0779465884,-0.0285286605,-0.1839525998,-0.5224040151,,,
12.0039062500,0,-0.0122391870,-0.5822889805,-0.5411857963,0.5152828693,,,
12.0078125000,0,0.1177516654,-0.9810346365,-1.2464025021,0.6061900854,,,
12.0117187500,0,0.3042624891,-1.1313406229,-1.8525762558,-0.0844522938,,,
12.0156250000,0,0.5354336500,-1.0078524351,-1.9598028660,-0.5923476815,,,
12.0195312500,0,0.7961363792,-0.6600122452,-1.4549517632,-0.1461165547,,,
12.0234375000,0,1.0690274239,-0.1982875466,-0.5798550248,1.0379655361,,,
12.0273437500,0,1.3357596397,0.2363205850,0.2128028423,1.9702831507,,,
12.0312500000,0,1.5782616138,0.5111319423,0.5296193957,1.8926261663,,,
12.0351562500,0,1.7799994946,0.5383521914,0.2709043026,1.0475587845,,,
12.0390625000,0,1.9271310568,0.2993261516,-0.3109405935,0.4269259870,,,
12.0429687500,0,2.0094735622,-0.1501705647,-0.7640221119,0.7564439774,,,
12.0468750000,0,2.0212154388,-0.6950526834,-0.7091358900,1.7533599138,,,
12.0507812500,0,1.9613246918,-1.1923170090,-0.0685240030,2.4152688980,,,
12.0546875000,0,1.8336228132,-1.5101031065,0.8857952952,2.0451445580,,,
12.0585937500,0,1.6465229988,-1.5637174845,1.6930992603,0.9657977819,,,
12.0625000000,0,1.4124455452,-1.3387513161,1.9780261517,0.1940716803,,,
12.0664062500,0,1.1469565630,-0.8949549198,1.6735696793,0.4073263705,,,
12.0703125000,0,0.8676863313,-0.3498087525,1.0595189333,1.2574148178,,,
12.0742187500,0,0.5931041241,0.1537054777,0.5933590531,1.7324779034,,,
12.0781250000,0,0.3412352800,0.4863010645,0.6349154711,1.1968679428,,,
12.0820312500,0,0.1284090132,0.5678067803,1.2296417952,0.0470135882,,,
12.0859375000,0,-0.0318750143,0.3891037405,2.0803360939,-0.6867732406,,,
12.0898437500,0,-0.1298826486,0.0145671759,2.7242403030,-0.3861793876,,,
12.0937500000,0,-0.1603183746,-0.4356561005,2.8095018864,0.5293251872,,,
12.0976562500,0,-0.1226887181,-0.8186764717,2.3054711819,1.0356183052,,,
12.1015625000,0,-0.0213305987,-1.0081434250,1.5209275484,0.5534940958,,,
12.1054687500,0,0.1348973215,-0.9290136695,0.9193198681,-0.4572544694,,,
12.1093750000,0,0.3332388401,-0.5782755613,0.8416467309,-0.9659947753,,,
12.1132812500,0,0.5579361916,-0.0259479862,1.3028954268,-0.4236378372,,,
12.1171875000,0,0.7913356423,0.6039212346,1.9839116335,0.6754095554,,,
12.1210937500,0,1.0151253939,1.1670510769,2.4235491753,1.2956159115,,,
