Time:128Hz,Epoch,Oscillator 1,Oscillator 2,Oscillator 3,Oscillator 4,Oscillator 5,Oscillator 6,Oscillator 7,Oscillator 8,Oscillator 9,Oscillator 10,Oscillator 11,Oscillator 12,Oscillator 13,Oscillator 14,Oscillator 15,Oscillator 16,Event Id,Event Date,Event Duration
5.0000000000,0,1.7934468985,0.6354117990,1.1143122911,-0.8795902133,1.9839116335,0.3325616419,0.3913648427,-1.9496072531,-1.5575954914,0.1289365143,-0.6053512692,0.2437762320,-1.8795906305,1.3591989279,1.0007342100,2.1540174484,,,
5.0078125000,0,1.8280352354,-0.2284035981,1.1639690399,0.6711189747,1.3047692776,-2.2985775471,0.4114870131,-0.8248870969,-1.4609525204,-0.5318826437,0.8028411269,0.9906968474,-0.6671772003,2.7222745419,-0.1146482974,-0.0769430697,,,
5.0156250000,0,1.5947071314,-0.5588685870,2.4236302376,-0.6649442315,0.1487478465,-0.8360640407,-0.9533303380,-1.1843341589,0.8508659601,-0.6782612205,1.8728406429,0.7920000553,-0.3399817944,1.4713698626,-2.6312601566,0.5508337617,,,
5.0234375000,0,1.1687186956,0.0956258774,2.0107505322,-1.5908371210,1.1488139629,-2.9640362263,1.2511349916,-1.9299637079,2.3708505630,-0.4095487893,1.7893526554,-0.5676289797,-0.4844218493,-0.7167924047,-1.4762680531,1.0358172655,,,
5.0312500000,0,0.6764885187,1.1480914354,0.2890710831,-0.1691325903,-1.0649143457,-0.8593389392,0.0299754646,0.2860491276,1.5962107182,-0.1899438798,0.7561082244,-1.9715925455,0.1951297969,-1.3486862183,1.4556077719,0.3327590227,,,
5.0390625000,0,0.2607866526,1.5713161230,0.1566589177,-1.5615078211,0.6696987152,-2.2611446381,1.8423906565,0.4338548183,0.6610583663,-0.4193889201,-0.2169194967,-2.2241299152,1.7899763584,-0.4230080247,1.2747300863,0.6682556868,,,
5.0468750000,0,0.0414590426,0.9471017718,1.1824344397,-2.1734688282,-0.6814849377,0.2961834669,1.9496588707,-1.1501203775,1.0031542778,-1.0383222103,-0.3163227737,-1.4012787342,2.7794761658,0.1141602397,-0.4887924492,-1.6483247280,,,
5.0546875000,0,0.0824512169,-0.1051001027,0.5292767882,-0.4572191834,0.1563701481,-0.8843127489,0.9822484851,-0.1805447489,0.9494140744,-1.5352479219,0.2944742441,-0.7064080238,1.9435715675,-0.5695261359,0.2409760356,-2.0406448841,,,
5.0625000000,0,0.3741719127,-0.5579316020,-1.2198148966,-1.5314915180,0.7933816910,1.4275698662,2.0282850266,-0.6248457432,-0.4356642067,-1.3798269033,0.6998330951,-1.0114735365,0.0249832589,-1.2840905190,1.9168975353,0.9616224766,,,
5.0703125000,0,0.8360305429,-0.0212922860,-1.2014932632,-1.5790940523,-0.1104361787,-0.1661356091,-0.7553777099,-2.2975485325,-0.9919941425,-0.5135617256,0.2203611881,-1.8229510784,-1.1385244131,-0.9395022988,1.1623922586,-0.5471017957,,,
5.0781250000,0,1.3384542465,0.8642048836,-0.0603532940,0.5114146471,1.8416213989,1.4907540083,0.0041533527,-0.4930501878,0.5456811786,0.5478343964,-0.8513813019,-1.9011912346,-0.8785274029,-0.0572809912,-0.6131759286,-1.6881196499,,,
5.0859375000,0,1.7383508682,1.0870783329,-0.6010977030,-0.3240389228,-0.1046778783,-0.5413197875,-1.3417443037,0.7400212884,1.7099581957,1.1202489138,-1.5238823891,-0.7911625504,-0.3417969048,0.4298196733,-0.8301452398,1.1246000528,,,
5.0937500000,0,1.9182995558,0.3040921986,-2.0522141457,-0.0563366860,1.2921441793,0.7831050158,-1.7214711905,0.0961340740,0.3229550123,0.9292945862,-1.1134773493,0.5651266575,-0.7171195745,0.6802607775,-0.4950729907,1.2992161512,,,
5.1015625000,0,1.8187277317,-0.8027079105,-1.6252076626,2.0171236992,-0.0806722790,-1.0971264839,-0.1795787513,1.9134305716,-1.7409076691,0.3488728106,0.0414517708,0.8751184940,-1.5254096985,1.2207413912,-0.8630113602,0.9828110337,,,
5.1093750000,0,1.4542561769,-1.2158823013,-0.1947850734,0.9664248824,-0.6259220839,0.5178549290,-1.5220934153,2.5024659634,-1.8823633194,0.0685981959,0.8919317722,-0.0299987569,-1.3258576393,1.5326553583,-0.8868879676,0.9023705721,,,
5.1171875000,0,0.9097323418,-0.6151723862,-0.5318441987,1.0750149488,-0.3303924203,-0.7329849601,0.7447488904,0.2977875769,-1.0256607533,0.4644826949,0.7078759074,-1.0347926617,0.1586320400,0.7198645473,-0.3931718767,-0.7923588157,,,
5.1250000000,0,0.3170392811,0.3014196157,-1.6864917278,2.6989738941,-2.4594631195,1.3089541197,-0.4318130612,0.5601613522,-1.1991772652,1.2301871777,-0.2120912224,-1.0766034126,1.4660108089,-0.6758152246,-0.3755417168,0.5782527328,,,
5.1328125000,0,-0.1809656918,0.5356920958,-0.9579350352,1.1274926662,-0.8783005476,0.4622401595,-0.3700736761,0.8286364675,-1.4778138399,1.6173022985,-0.8649519086,-0.3887561262,1.2265207767,-1.0066683292,0.0056240601,0.7438472509,,,
5.1406250000,0,-0.4694981277,-0.1870188564,0.5635697246,0.9182155132,-2.7800562382,2.3802883625,-0.1515156031,-0.9292705059,-0.1082187817,1.0977253914,-0.5680099726,-0.1756115109,-0.0513559505,0.0066325101,1.4547821283,-2.6897416115,,,
5.1484375000,0,-0.4931799471,-1.1340042353,0.1726432890,2.0994193554,-1.4014362097,1.2645843029,-2.2619166374,0.2253686190,1.4609179497,-0.1308375299,0.3577873111,-1.1140679121,-0.6647506356,0.5255370736,1.7581715584,-1.3820610046,,,
5.1562500000,0,-0.2710725069,-1.3112252951,-0.9849572778,0.2000949681,-1.4105950594,2.4500234127,-0.6122750044,1.7275761366,0.7508417964,-1.2618160248,0.9364565015,-2.4745430946,0.0457559563,-0.7647702694,0.0410783663,0.8432290554,,,
5.1640625000,0,0.1087102219,-0.4774915278,-0.2842518985,-0.0010550523,-1.4770784378,0.7452786565,-2.0995953083,0.2629238963,-1.1042222977,-1.5452014208,0.5557064414,-2.9193966389,0.9176384807,-2.3559758663,-0.5188135505,-0.5283483863,,,
