Time:256Hz,Epoch,Oscillator 1,Oscillator 2,Oscillator 3,Oscillator 4,Oscillator 5,Oscillator 6,Oscillator 7,Oscillator 8,Oscillator 9,Oscillator 10,Oscillator 11,Oscillator 12,Oscillator 13,Oscillator 14,Oscillator 15,Oscillator 16,Event Id,Event Date,Event Duration
12.0000000000,0,0.4447793365,-0.4704726338,1.5348234177,-1.2411124706,-0.6961330771,-0.0686538666,0.8076962233,1.9591088295,-2.0144574642,-0.9935986400,-0.2615875900,1.7632719278,1.6353056431,-2.3359122276,-0.7228202820,-0.3352901340,,,
12.0039062500,0,0.2228640169,-0.2128836662,1.1104735136,-1.2280762196,0.1391438246,-1.0230052471,2.0651044846,-0.1235930026,-0.3499412537,-1.7800914049,0.4934356213,1.8919510841,0.1710027158,-0.9559726119,-2.2771031857,1.8172022104,,,
12.0078125000,0,-0.0197262671,0.1815256625,0.2561281025,-0.2751126885,-0.4891605973,-0.0057641668,0.8177818060,0.3019436300,-0.6803076863,-0.9477350712,0.5289628506,1.1457719803,0.2658747733,-1.4461609125,-0.7462375164,0.8823635578,,,
12.0117187500,0,-0.2647962868,0.5756642818,-0.6030244827,0.7432299852,-1.1782438755,1.0443329811,-0.6438515186,1.0031410456,-1.1033184528,0.2120576650,-0.0433040597,0.5998975635,0.1424196512,-1.0812246799,0.3823019564,-0.2173066288,,,
12.0156250000,0,-0.4941052198,0.8312336802,-1.0330576897,0.9162755609,-0.4297048450,-0.0129730944,0.3604999185,-0.8840683103,1.1478867531,-0.7712111473,0.3914816976,-0.2162694931,-0.4100939929,1.1001954079,-0.9561185837,0.6177310944,,,
12.0195312500,0,-0.6906406879,0.8468402624,-0.8497785926,0.2239812762,1.0644851923,-1.1659032106,0.1317263246,-0.0391731970,-0.0046934052,1.3742356300,-1.3888626099,-0.7559841871,1.1886312962,0.0642286092,0.6206659675,-1.2158492804,,,
12.0234375000,0,-0.8398070931,0.5860043764,-0.2278416455,-0.4469163418,1.4487309456,-0.3397611082,-1.8475911617,0.9096014500,1.2669955492,-0.4486851692,-0.4280787408,-0.9672414064,0.1407876760,2.3680644035,-0.4663219452,-2.7441244125,,,
12.0273437500,0,-0.9304446578,0.0873870179,0.4048041999,-0.2137051523,0.4920846522,0.3982692063,-1.4958781004,-0.6289930344,2.3082790375,0.8633992076,-2.6825945377,-1.0426486731,2.4941573143,1.1138740778,-1.7754085064,-1.0527198315,,,
12.0312500000,0,-0.9556090236,-0.5455695987,0.6239156127,0.8948178887,-0.0764109120,-0.9198107719,-0.4954987466,0.6055715680,0.8915427327,-0.0553134605,-0.9723342657,-0.5454891324,0.7079155445,0.9936774373,-0.1881943494,-1.1391438246,,,
12.0351562500,0,-0.9130560160,-1.1727516651,0.2635053992,1.9610925913,0.8084560037,-2.1155111790,-1.9290076494,1.6081084013,2.7095956802,-0.6404176950,-2.8830111027,-0.4298370481,2.3951063156,1.2160958052,-1.4200794697,-1.4383856058,,,
