Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Event Id,Event Date,Event Duration
8.0000000000,0,2693.4614257813,5764.4873046875,6582.1796875000,8342.9482421875,6629.3588867188,7549.8715820313,7255.0000000000,6861.1538085938,6500.8974609375,6848.4614257813,8208.5898437500,2975.7692871094,6710.1284179688,4055.2563476563,2763.5898437500,5929.6152343750,,,
8.0078125000,0,5916.7949218750,2655.7692871094,7967.3076171875,6075.0000000000,127.6922988892,815.1281738281,1984.7435302734,5730.5126953125,1397.0512695313,7014.4873046875,817.3076782227,8220.2568359375,5205.5126953125,5847.9487304688,3017.0512695313,3370.8974609375,,,
8.0156250000,0,3544.7436523438,3525.8974609375,1012.6923217773,5332.4360351563,5471.6665039063,752.4359130859,2711.1538085938,2572.3076171875,2177.9487304688,4418.3334960938,3704.6154785156,6578.7177734375,2393.7180175781,7906.0258789063,6713.8461914063,7853.7177734375,,,
8.0234375000,0,6805.5126953125,6228.0771484375,4154.2309570313,2677.6923828125,5424.6152343750,6358.3334960938,6347.4360351563,964.4871826172,4319.4873046875,631.1538085938,3341.1538085938,180.1281890869,4557.9487304688,2145.7692871094,8265.6406250000,1959.4871826172,,,
8.0312500000,0,6126.0258789063,7808.2050781250,4123.5898437500,6284.8715820313,3957.5642089844,3788.2050781250,1049.6153564453,5089.6152343750,368.3333129883,6668.2050781250,1877.8205566406,6905.2563476563,3901.1538085938,6137.5639648438,1657.3077392578,7118.9741210938,,,
8.0390625000,0,7432.3076171875,719.2307739258,3875.7692871094,4756.4101562500,3253.8461914063,7347.6923828125,294.2307739258,5678.5898437500,1009.6153564453,818.5897216797,3137.0512695313,2047.0512695313,5992.6923828125,5097.3076171875,1177.1794433594,8301.7949218750,,,
8.0468750000,0,7132.4360351563,8198.3330078125,681.9230957031,7235.5126953125,5394.8715820313,4177.6923828125,5058.0771484375,1177.0512695313,35.5128097534,5191.1538085938,2957.3076171875,1991.9230957031,2368.3332519531,815.2564086914,920.7692260742,2251.9230957031,,,
8.0546875000,0,663.4615478516,3827.6923828125,7315.2563476563,7468.5898437500,6934.7436523438,2015.5128173828,1352.6922607422,6682.8203125000,1404.2307128906,4667.6923828125,3465.7692871094,7038.2050781250,1168.9743652344,293.9743652344,4151.5385742188,6442.8203125000,,,
8.0625000000,0,4930.7690429688,7084.6152343750,6402.3076171875,4613.2050781250,4794.6152343750,2898.9743652344,2815.6411132813,6918.2050781250,1605.6409912109,6511.7949218750,553.7179565430,4662.6923828125,6816.9228515625,434.8717956543,5426.6665039063,5972.8203125000,,,
8.0703125000,0,536.7948608398,3769.7436523438,3690.0000000000,8096.4101562500,2445.7692871094,6763.5898437500,2201.2819824219,5027.3076171875,6146.7949218750,726.1538085938,7897.6923828125,7912.4360351563,1734.2307128906,240.8974304199,2826.6667480469,2512.3076171875,,,
8.0781250000,0,873.9743652344,4546.1538085938,1872.6922607422,5147.5639648438,6087.3076171875,2346.2819824219,4220.7690429688,8321.2822265625,3696.1538085938,4293.8461914063,4148.0771484375,7511.0258789063,5267.6923828125,5205.2563476563,4303.3334960938,4809.1025390625,,,
8.0859375000,0,7190.1284179688,6404.4873046875,1163.7178955078,5417.6923828125,4009.4870605469,3928.7180175781,976.0256347656,7188.0771484375,682.8204956055,327.4358825684,7485.7690429688,3956.4101562500,4133.8461914063,7785.7690429688,1107.3077392578,1633.9743652344,,,
8.0937500000,0,6144.6152343750,44.4871711731,5643.2050781250,2066.2819824219,8149.6152343750,2056.0256347656,5972.9487304688,6334.4873046875,6435.1284179688,2862.6923828125,3738.2050781250,8019.8715820313,5904.7436523438,1880.5128173828,4399.7436523438,6108.2050781250,,,
8.1015625000,0,199.3589630127,6890.8974609375,6859.8715820313,4775.0000000000,4486.5385742188,6851.9228515625,7920.1284179688,1374.4871826172,8198.8457031250,4448.8461914063,4938.8461914063,3850.0000000000,7670.2563476563,3304.1025390625,1108.2050781250,6284.8715820313,,,
8.1093750000,0,99.1025543213,1931.2821044922,4542.5639648438,2667.4357910156,2587.3076171875,3215.8974609375,2886.9230957031,1.1538372040,1639.1025390625,6014.6152343750,3674.6154785156,6989.3588867188,6663.9741210938,7378.8461914063,7554.7436523438,1578.2050781250,,,
8.1171875000,0,3934.4870605469,1041.1538085938,763.3333129883,6052.9487304688,4399.7436523438,545.5128173828,1010.7692260742,7565.1284179688,5911.6665039063,5008.8461914063,6890.7690429688,2526.4101562500,6635.5126953125,3618.2050781250,1917.0512695313,6914.8715820313,,,
8.1250000000,0,5503.4614257813,6734.7436523438,569.1025390625,6842.1796875000,428.3333129883,2258.0769042969,4054.3588867188,4045.1281738281,6747.0512695313,6357.5639648438,7799.8715820313,2187.3076171875,3578.2050781250,1081.9230957031,8042.1796875000,62.9487075806,,,
8.1328125000,0,4836.4101562500,1173.7178955078,4189.3588867188,3278.9743652344,7084.7436523438,5864.2309570313,5013.7177734375,6177.0512695313,5226.2822265625,2418.3332519531,1729.4871826172,5378.3334960938,365.8974304199,7508.3334960938,4423.4614257813,2577.9487304688,,,
8.1406250000,0,3196.0256347656,1775.5128173828,7656.1538085938,5831.2822265625,2369.7436523438,1351.0256347656,4105.0000000000,4558.7177734375,4208.5898437500,1227.1794433594,5665.6411132813,6312.0512695313,7011.2822265625,3207.3076171875,3065.5129394531,7959.8715820313,,,
8.1484375000,0,7968.5898437500,7991.2822265625,5729.3588867188,653.3333129883,731.5384521484,8157.4360351563,3767.9487304688,2339.1025390625,7234.4873046875,7495.3847656250,551.4102783203,2681.6667480469,2228.5898437500,209.3589630127,5812.9487304688,3990.6411132813,,,
8.1562500000,0,6550.0000000000,2705.1281738281,5711.5385742188,7830.8974609375,1711.0256347656,3894.3588867188,224.2307586670,325.2564086914,605.8973999023,2210.2563476563,7144.4873046875,6591.5385742188,946.1538696289,5523.9741210938,2495.1281738281,730.3845825195,,,
8.1640625000,0,6182.6923828125,3133.0769042969,3960.6411132813,4198.2050781250,1617.5640869141,2415.2563476563,7473.4614257813,2178.2050781250,6380.5126953125,1384.6153564453,4868.3334960938,3072.8205566406,7601.9228515625,1935.8974609375,3644.4870605469,5183.4614257813,,,
8.1718750000,0,5398.0771484375,5405.5126953125,6657.5639648438,7818.9746093750,670.2564086914,533.3333129883,3406.7949218750,5067.4360351563,764.3589477539,2018.3333740234,1991.1538085938,3613.7180175781,8186.9228515625,5142.8203125000,1185.2563476563,3742.8205566406,,,
8.1796875000,0,2620.0000000000,224.6153717041,3764.6154785156,753.7179565430,6835.1284179688,568.9743652344,5990.1284179688,2728.3332519531,1347.9487304688,3009.7436523438,4990.8974609375,6889.6152343750,63.9743499756,2928.8461914063,1125.5128173828,1086.2821044922,,,
8.1875000000,0,2959.8718261719,6811.4101562500,3861.7949218750,7418.9746093750,2016.2821044922,3866.1538085938,3826.9230957031,1532.4359130859,3559.2307128906,4485.8974609375,3686.4101562500,7597.4360351563,1828.4615478516,1708.9743652344,6771.5385742188,4346.6665039063,,,
8.1953125000,0,1396.9230957031,338.4615173340,1033.5897216797,5050.3847656250,1885.8974609375,3707.8205566406,2079.6154785156,4838.7177734375,3754.2307128906,5418.9741210938,4495.6411132813,180.8974304199,6731.2822265625,4210.1284179688,7040.1284179688,1508.4615478516,,,
8.2031250000,0,2213.8461914063,6352.1796875000,6251.0258789063,7008.9741210938,6968.3334960938,2383.4614257813,2713.8461914063,2456.9230957031,4539.8715820313,2869.2307128906,1269.7435302734,3653.4614257813,2590.7692871094,6987.8203125000,8376.5380859375,7492.0512695313,,,
