Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,TP9,TP10,Event Id,Event Date,Event Duration
8.0000000000,0,1122.0512695313,8306.7949218750,7819.3588867188,5083.4614257813,1822.9487304688,5812.4360351563,3968.3332519531,4617.5639648438,1877.1794433594,8375.3847656250,7088.9741210938,7068.5898437500,3634.3588867188,4930.7690429688,6082.3076171875,1479.8718261719,,,
8.0078125000,0,2696.4101562500,5607.9487304688,1926.0256347656,8170.6411132813,6070.8974609375,5625.2563476563,7450.6411132813,5268.3334960938,5397.0512695313,6337.5639648438,6304.8715820313,800.5128173828,7186.7949218750,168.7179412842,5510.5126953125,5918.2050781250,,,
8.0156250000,0,6173.3334960938,3361.1538085938,3384.6154785156,1911.1538085938,8036.5385742188,3524.8718261719,7946.6665039063,2148.8461914063,8347.3076171875,84.3589630127,3924.7436523438,8180.7690429688,4871.9228515625,6453.5898437500,1503.3333740234,3114.1025390625,,,
8.0234375000,0,3623.7180175781,2044.1025390625,877.3076782227,1724.1025390625,5020.6411132813,8352.9482421875,4546.7949218750,4818.5898437500,5255.2563476563,4298.5898437500,6470.7690429688,2019.4871826172,4848.5898437500,1850.7691650391,662.8204956055,7056.9228515625,,,
8.0312500000,0,3448.8461914063,8171.6665039063,184.2307586670,362.5640869141,1050.6409912109,6649.2309570313,3388.4614257813,2860.5129394531,5073.8461914063,7857.5639648438,1717.6922607422,8071.4101562500,5552.5639648438,7503.7177734375,8122.4360351563,5585.1284179688,,,
8.0390625000,0,612.1795043945,6481.1538085938,7386.4101562500,933.0769042969,8020.8974609375,3160.7692871094,7461.6665039063,6461.6665039063,940.2564086914,62.3076820374,96.2820434570,3463.0769042969,713.8461303711,7096.9228515625,5366.0258789063,279.4871826172,,,
8.0468750000,0,6525.5126953125,7068.8461914063,6056.6665039063,6914.2309570313,2812.9487304688,3692.4357910156,1837.4359130859,7774.6152343750,2814.1025390625,241.6666564941,5944.2309570313,3796.5385742188,42.4358901978,2376.4101562500,4403.9741210938,2104.4870605469,,,
8.0546875000,0,2039.4871826172,3590.1281738281,7960.5126953125,2802.9487304688,1276.7949218750,3368.3332519531,8029.1025390625,1786.2821044922,4899.4873046875,2251.2819824219,437.0512695313,3461.6667480469,2134.1025390625,3982.4357910156,2240.5126953125,4591.1538085938,,,
8.0625000000,0,5251.1538085938,5163.2050781250,8189.6152343750,7736.4101562500,1126.2821044922,7831.4101562500,4255.6411132813,7675.6411132813,7138.0771484375,6314.2309570313,6216.9228515625,4441.0258789063,3061.4101562500,4114.3588867188,5007.5639648438,1857.0512695313,,,
8.0703125000,0,6040.1284179688,1108.3333740234,6738.0771484375,5890.6411132813,5800.3847656250,82.5640945435,2852.6923828125,4182.0512695313,3437.9487304688,3965.2563476563,4543.9741210938,861.2820434570,8109.7436523438,4591.6665039063,6648.0771484375,5510.3847656250,,,
8.0781250000,0,3760.7692871094,1759.7435302734,3521.0256347656,7052.5639648438,6447.1796875000,4464.3588867188,613.2051391602,6637.3076171875,1381.2821044922,5431.5385742188,5057.3076171875,3406.2819824219,7800.2563476563,6356.0258789063,2753.5898437500,4161.7949218750,,,
8.0859375000,0,2406.0256347656,1341.2821044922,7382.9487304688,2324.8718261719,7074.2309570313,4682.5639648438,4563.0771484375,4667.0512695313,4396.2822265625,224.2307586670,5147.6923828125,7765.2563476563,3411.7949218750,8396.4101562500,5771.0258789063,7390.3847656250,,,
8.0937500000,0,64.2307586670,5506.1538085938,5733.7177734375,2107.6923828125,7476.4101562500,8322.1796875000,4016.7949218750,2775.0000000000,1184.6153564453,5415.3847656250,3002.1794433594,3332.6923828125,8222.9482421875,2132.0512695313,6739.7436523438,3880.7692871094,,,
8.1015625000,0,1749.8718261719,7191.7949218750,3575.7692871094,935.7692260742,1683.7178955078,6574.2309570313,5031.9228515625,8320.7695312500,6260.7690429688,1201.7949218750,2830.1281738281,851.6666870117,2282.4357910156,2600.2563476563,7838.7177734375,3030.7692871094,,,
8.1093750000,0,3309.7436523438,2586.5385742188,6776.6665039063,7241.4101562500,4045.5129394531,4841.9228515625,5642.0512695313,5056.0258789063,8114.7436523438,1700.8974609375,4139.3588867188,1936.7949218750,2131.7949218750,7014.2309570313,5889.6152343750,6094.2309570313,,,
8.1171875000,0,2368.0769042969,7499.1025390625,6747.9487304688,3762.8205566406,7095.5126953125,4179.7436523438,6878.4614257813,5311.5385742188,4569.4873046875,6678.4614257813,6990.3847656250,181.6666564941,2907.4357910156,6560.8974609375,3264.6154785156,3668.2050781250,,,
8.1250000000,0,1402.4359130859,1267.4359130859,1238.3333740234,8222.3076171875,4109.2309570313,1533.4615478516,392.9486999512,5833.5898437500,5855.3847656250,2537.1794433594,2082.8205566406,774.3589477539,3733.7180175781,4645.8974609375,1064.6153564453,5333.2050781250,,,
8.1328125000,0,2768.2050781250,2240.8974609375,6168.5898437500,4762.0512695313,3117.5642089844,5715.6411132813,4309.4873046875,5853.0771484375,4193.5898437500,1702.5640869141,6291.6665039063,1818.7178955078,3886.2819824219,401.4102478027,7364.2309570313,4482.9487304688,,,
8.1406250000,0,6057.3076171875,4597.1796875000,7402.9487304688,1817.1794433594,6556.9228515625,290.1282043457,3198.2050781250,8385.5126953125,2251.7949218750,3497.6923828125,8399.7431640625,4671.6665039063,8345.1279296875,1925.6409912109,7049.6152343750,7729.6152343750,,,
8.1484375000,0,4784.4873046875,1279.1025390625,6834.6152343750,1790.6409912109,2690.8974609375,3813.4614257813,4412.0512695313,722.9487304688,7385.0000000000,829.6153564453,125.8974304199,2335.3845214844,5739.6152343750,4456.6665039063,8343.5898437500,2105.8974609375,,,
8.1562500000,0,2.6922986507,554.2307739258,1026.7949218750,8042.8203125000,4930.3847656250,4553.0771484375,3185.8974609375,4095.0000000000,4782.8203125000,6163.7177734375,161.2820434570,2476.4101562500,5776.6665039063,7379.4873046875,891.9230957031,6507.9487304688,,,
8.1640625000,0,466.2820434570,2983.7180175781,3513.5898437500,5566.4101562500,3738.7180175781,12.0512733459,4563.0771484375,412.6922912598,339.1025695801,6589.8715820313,7551.1538085938,1952.0512695313,276.9230651855,6250.0000000000,2008.2050781250,2817.1794433594,,,
8.1718750000,0,3134.1025390625,3107.0512695313,4816.1538085938,6205.3847656250,7690.5126953125,5421.5385742188,5203.4614257813,1970.8974609375,6710.6411132813,431.0256347656,1197.9487304688,1600.5128173828,8103.5898437500,8323.0771484375,5775.1284179688,3354.4870605469,,,
8.1796875000,0,1751.9230957031,1599.7435302734,227.0512695313,2451.9230957031,6645.6411132813,6670.1284179688,2425.3845214844,991.1538696289,8396.1542968750,5400.6411132813,1524.2307128906,4682.3076171875,8276.9228515625,4615.7690429688,5912.4360351563,3591.5385742188,,,
8.1875000000,0,281.2820434570,5174.8715820313,2422.3076171875,1256.7949218750,1572.5640869141,853.7179565430,4059.6154785156,8127.8203125000,5205.8974609375,3243.9743652344,3171.5385742188,7234.1025390625,1598.2050781250,2920.0000000000,363.7179260254,3948.9743652344,,,
8.1953125000,0,5645.3847656250,2188.0769042969,6402.9487304688,7851.1538085938,3438.4614257813,7186.0258789063,4387.4360351563,7282.3076171875,1413.2050781250,8335.5126953125,2684.2307128906,3365.2563476563,6350.8974609375,569.1025390625,4044.7436523438,2817.5642089844,,,
8.2031250000,0,7262.3076171875,1573.8461914063,5536.4101562500,8120.5126953125,4039.3588867188,4088.7180175781,8186.9228515625,1049.8718261719,3307.5642089844,2614.1025390625,5551.0258789063,3340.6411132813,2251.1538085938,7449.8715820313,2838.9743652344,3936.0256347656,,,
8.2109375000,0,3312.8205566406,6462.6923828125,699.8717651367,7969.4873046875,2082.8205566406,7689.4873046875,2348.7180175781,3677.3076171875,391.2820434570,8106.6665039063,6852.3076171875,2686.0256347656,3947.3076171875,2865.5129394531,2650.3845214844,5623.5898437500,,,
8.2187500000,0,1240.2563476563,6971.2822265625,2826.9230957031,7488.5898437500,2079.2307128906,6977.4360351563,3305.8974609375,3604.7436523438,7847.9487304688,7940.6411132813,4515.6411132813,2884.1025390625,8362.0517578125,3834.6154785156,1618.9743652344,3067.5642089844,,,
8.2265625000,0,1074.3590087891,1406.4102783203,1200.2563476563,4712.6923828125,2525.8974609375,1516.2821044922,6062.5639648438,1182.6922607422,741.5384521484,2465.7692871094,3168.9743652344,1996.7949218750,4373.9741210938,1532.0512695313,696.0256347656,7354.7436523438,,,
8.2343750000,0,4674.7436523438,6520.5126953125,3641.7949218750,1481.1538085938,3655.7692871094,484.1025695801,7519.6152343750,7034.1025390625,8353.9746093750,4154.2309570313,160.1281890869,1907.5640869141,2349.2307128906,2849.3588867188,1934.1025390625,3306.9230957031,,,
8.2421875000,0,5901.0258789063,395.3846130371,4475.3847656250,6461.9228515625,2075.6411132813,3342.9487304688,3472.0512695313,5140.0000000000,3815.5129394531,5718.8461914063,7219.1025390625,1904.2307128906,4525.2563476563,146.4102478027,7005.6411132813,3163.3332519531,,,
8.2500000000,0,5145.2563476563,1456.6666259766,4878.5898437500,8379.3593750000,882.5640869141,7351.5385742188,7660.8974609375,1890.1281738281,3570.5129394531,4655.6411132813,3118.0769042969,7166.1538085938,2643.7180175781,4587.0512695313,4063.5898437500,1478.2050781250,,,
8.2578125000,0,635.7692260742,5001.2822265625,5941.4101562500,531.2820434570,3236.2819824219,6905.2563476563,2585.8974609375,6827.4360351563,2915.8974609375,4178.9741210938,3342.8205566406,8076.9228515625,7711.7949218750,2294.8718261719,2633.8461914063,5624.2309570313,,,
8.2656250000,0,7167.0512695313,7830.2563476563,3065.7692871094,2830.3845214844,4867.0512695313,397.6922912598,7545.8974609375,1683.2050781250,3470.1281738281,2978.8461914063,7931.4101562500,166.6666564941,2206.0256347656,7823.0771484375,2232.1794433594,6481.6665039063,,,
8.2734375000,0,881.5384521484,1528.2050781250,2834.1025390625,2745.2563476563,1019.2307739258,2608.4614257813,7186.1538085938,3886.9230957031,208.2051239014,1126.0256347656,3914.2307128906,4610.2563476563,6648.8461914063,1298.3333740234,2394.7436523438,158.9743499756,,,
8.2812500000,0,4324.4873046875,1076.6666259766,5133.3334960938,3175.0000000000,2351.6667480469,3860.2563476563,149.9999847412,3615.8974609375,3535.2563476563,2006.6666259766,7135.0000000000,2786.0256347656,2721.0256347656,443.4615173340,5900.2563476563,552.5640869141,,,
8.2890625000,0,7606.4101562500,7563.9746093750,5.3846063614,1501.9230957031,6498.7177734375,6601.2822265625,790.1281738281,2885.2563476563,653.0769042969,3132.6923828125,4434.8715820313,7615.8974609375,2013.0769042969,2340.0000000000,7036.5385742188,2733.7180175781,,,
8.2968750000,0,3860.7692871094,375.8974304199,5954.4873046875,6452.5639648438,2710.7692871094,3587.3076171875,7352.9487304688,1033.3333740234,1670.0000000000,7529.7436523438,7056.0258789063,5979.4873046875,305.3846130371,2164.4870605469,602.3076782227,7611.4101562500,,,
8.3046875000,0,7682.9487304688,7985.2563476563,5199.3588867188,3312.0512695313,7206.2822265625,7934.3588867188,809.4871826172,5114.6152343750,4007.4357910156,1682.5640869141,3883.5898437500,6895.2563476563,5493.8461914063,7227.0512695313,4113.3334960938,5377.3076171875,,,
8.3125000000,0,4097.5639648438,2960.3845214844,5692.8203125000,4155.3847656250,1292.6922607422,903.3333129883,953.0769042969,2888.0769042969,5640.2563476563,4673.3334960938,4840.8974609375,3475.1281738281,1185.0000000000,1175.1281738281,3796.7949218750,1024.1025390625,,,
8.3203125000,0,6780.6411132813,746.4102783203,3345.8974609375,1650.8974609375,1536.1538085938,3776.4101562500,1197.4359130859,2696.2819824219,4409.7436523438,3523.7180175781,8381.2822265625,5752.8203125000,5771.1538085938,6465.1284179688,2883.3332519531,6204.7436523438,,,
8.3281250000,0,60.3846054077,8137.1796875000,4626.4101562500,111.5384521484,7327.6923828125,2595.8974609375,3529.1025390625,2762.6923828125,6808.2050781250,7643.8461914063,1347.6922607422,6727.6923828125,5107.6923828125,3465.2563476563,4262.0512695313,8065.2563476563,,,
8.3359375000,0,5863.9741210938,1573.2050781250,5714.2309570313,127.1794815063,543.8461303711,7139.3588867188,4391.6665039063,5209.8715820313,3089.8718261719,1811.7949218750,2831.6667480469,778.8461303711,5046.6665039063,5468.0771484375,4205.2563476563,4155.8974609375,,,
8.3437500000,0,7188.8461914063,3167.5642089844,67.5640945435,943.2051391602,2301.4101562500,7794.6152343750,4798.0771484375,3464.1025390625,3898.7180175781,5053.3334960938,19.2307605743,6527.5639648438,8081.9228515625,4520.5126953125,7112.4360351563,815.2564086914,,,
8.3515625000,0,1324.6153564453,4850.8974609375,7689.7436523438,7606.0258789063,4452.6923828125,1377.6922607422,5803.5898437500,5652.4360351563,8401.4101562500,1802.6922607422,6094.7436523438,4086.4101562500,7324.4873046875,7043.5898437500,4230.0000000000,3723.7180175781,,,
8.3593750000,0,4076.1538085938,5408.8461914063,2933.0769042969,6138.3334960938,2120.5126953125,5984.3588867188,6992.8203125000,5533.8461914063,8222.4355468750,2636.2819824219,6922.5639648438,2536.9230957031,7807.8203125000,6927.5639648438,6100.6411132813,3675.2563476563,,,
8.3671875000,0,389.1025695801,6011.7949218750,5260.8974609375,3483.5898437500,3145.0000000000,3646.5385742188,7042.9487304688,6891.7949218750,4512.6923828125,1975.2563476563,1655.7691650391,8.7179393768,1471.5384521484,7872.4360351563,8121.7949218750,5315.5126953125,,,
8.3750000000,0,3008.9743652344,6356.2822265625,696.2820434570,7100.6411132813,3784.2307128906,1135.5128173828,5055.8974609375,1069.6153564453,8396.0253906250,4344.3588867188,5066.7949218750,1131.4102783203,4139.2309570313,2587.8205566406,954.4871826172,4643.0771484375,,,
