Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Label,Stage
8.0,0,2693.4614257813,5764.4873046875,6582.1796875,8342.9482421875,6629.3588867188,7549.8715820313,7255.0,6861.1538085938,6500.8974609375,6848.4614257813,8208.58984375,2975.7692871094,6710.1284179688,4055.2563476563,2763.58984375,5929.615234375,s,articulators
8.0078125,0,5916.794921875,2655.7692871094,7967.3076171875,6075.0,127.6922988892,815.1281738281,1984.7435302734,5730.5126953125,1397.0512695313,7014.4873046875,817.3076782227,8220.2568359375,5205.5126953125,5847.9487304688,3017.0512695313,3370.8974609375,s,articulators
8.015625,0,3544.7436523438,3525.8974609375,1012.6923217773,5332.4360351563,5471.6665039063,752.4359130859,2711.1538085938,2572.3076171875,2177.9487304688,4418.3334960938,3704.6154785156,6578.7177734375,2393.7180175781,7906.0258789063,6713.8461914063,7853.7177734375,s,articulators
8.0234375,0,6805.5126953125,6228.0771484375,4154.2309570313,2677.6923828125,5424.615234375,6358.3334960938,6347.4360351563,964.4871826172,4319.4873046875,631.1538085938,3341.1538085938,180.1281890869,4557.9487304688,2145.7692871094,8265.640625,1959.4871826172,s,articulators
8.03125,0,6126.0258789063,7808.205078125,4123.58984375,6284.8715820313,3957.5642089844,3788.205078125,1049.6153564453,5089.615234375,368.3333129883,6668.205078125,1877.8205566406,6905.2563476563,3901.1538085938,6137.5639648438,1657.3077392578,7118.9741210938,s,articulators
8.0390625,0,7432.3076171875,719.2307739258,3875.7692871094,4756.41015625,3253.8461914063,7347.6923828125,294.2307739258,5678.58984375,1009.6153564453,818.5897216797,3137.0512695313,2047.0512695313,5992.6923828125,5097.3076171875,1177.1794433594,8301.794921875,s,articulators
8.046875,0,7132.4360351563,8198.3330078125,681.9230957031,7235.5126953125,5394.8715820313,4177.6923828125,5058.0771484375,1177.0512695313,35.5128097534,5191.1538085938,2957.3076171875,1991.9230957031,2368.3332519531,815.2564086914,920.7692260742,2251.9230957031,s,articulators
8.0546875,0,663.4615478516,3827.6923828125,7315.2563476563,7468.58984375,6934.7436523438,2015.5128173828,1352.6922607422,6682.8203125,1404.2307128906,4667.6923828125,3465.7692871094,7038.205078125,1168.9743652344,293.9743652344,4151.5385742188,6442.8203125,s,articulators
8.0625,0,4930.7690429688,7084.615234375,6402.3076171875,4613.205078125,4794.615234375,2898.9743652344,2815.6411132813,6918.205078125,1605.6409912109,6511.794921875,553.717956543,4662.6923828125,6816.9228515625,434.8717956543,5426.6665039063,5972.8203125,s,articulators
8.0703125,0,536.7948608398,3769.7436523438,3690.0,8096.41015625,2445.7692871094,6763.58984375,2201.2819824219,5027.3076171875,6146.794921875,726.1538085938,7897.6923828125,7912.4360351563,1734.2307128906,240.8974304199,2826.6667480469,2512.3076171875,s,articulators
8.078125,0,873.9743652344,4546.1538085938,1872.6922607422,5147.5639648438,6087.3076171875,2346.2819824219,4220.7690429688,8321.2822265625,3696.1538085938,4293.8461914063,4148.0771484375,7511.0258789063,5267.6923828125,5205.2563476563,4303.3334960938,4809.1025390625,s,articulators
8.0859375,0,7190.1284179688,6404.4873046875,1163.7178955078,5417.6923828125,4009.4870605469,3928.7180175781,976.0256347656,7188.0771484375,682.8204956055,327.4358825684,7485.7690429688,3956.41015625,4133.8461914063,7785.7690429688,1107.3077392578,1633.9743652344,s,articulators
8.09375,0,6144.615234375,44.4871711731,5643.205078125,2066.2819824219,8149.615234375,2056.0256347656,5972.9487304688,6334.4873046875,6435.1284179688,2862.6923828125,3738.205078125,8019.8715820313,5904.7436523438,1880.5128173828,4399.7436523438,6108.205078125,s,articulators
8.1015625,0,199.3589630127,6890.8974609375,6859.8715820313,4775.0,4486.5385742188,6851.9228515625,7920.1284179688,1374.4871826172,8198.845703125,4448.8461914063,4938.8461914063,3850.0,7670.2563476563,3304.1025390625,1108.205078125,6284.8715820313,s,articulators
8.109375,0,99.1025543213,1931.2821044922,4542.5639648438,2667.4357910156,2587.3076171875,3215.8974609375,2886.9230957031,1.153837204,1639.1025390625,6014.615234375,3674.6154785156,6989.3588867188,6663.9741210938,7378.8461914063,7554.7436523438,1578.205078125,s,articulators
8.1171875,0,3934.4870605469,1041.1538085938,763.3333129883,6052.9487304688,4399.7436523438,545.5128173828,1010.7692260742,7565.1284179688,5911.6665039063,5008.8461914063,6890.7690429688,2526.41015625,6635.5126953125,3618.205078125,1917.0512695313,6914.8715820313,s,articulators
8.125,0,5503.4614257813,6734.7436523438,569.1025390625,6842.1796875,428.3333129883,2258.0769042969,4054.3588867188,4045.1281738281,6747.0512695313,6357.5639648438,7799.8715820313,2187.3076171875,3578.205078125,1081.9230957031,8042.1796875,62.9487075806,s,articulators
8.1328125,0,4836.41015625,1173.7178955078,4189.3588867188,3278.9743652344,7084.7436523438,5864.2309570313,5013.7177734375,6177.0512695313,5226.2822265625,2418.3332519531,1729.4871826172,5378.3334960938,365.8974304199,7508.3334960938,4423.4614257813,2577.9487304688,s,articulators
8.140625,0,3196.0256347656,1775.5128173828,7656.1538085938,5831.2822265625,2369.7436523438,1351.0256347656,4105.0,4558.7177734375,4208.58984375,1227.1794433594,5665.6411132813,6312.0512695313,7011.2822265625,3207.3076171875,3065.5129394531,7959.8715820313,s,articulators
8.1484375,0,7968.58984375,7991.2822265625,5729.3588867188,653.3333129883,731.5384521484,8157.4360351563,3767.9487304688,2339.1025390625,7234.4873046875,7495.384765625,551.4102783203,2681.6667480469,2228.58984375,209.3589630127,5812.9487304688,3990.6411132813,s,articulators
8.15625,0,6550.0,2705.1281738281,5711.5385742188,7830.8974609375,1711.0256347656,3894.3588867188,224.230758667,325.2564086914,605.8973999023,2210.2563476563,7144.4873046875,6591.5385742188,946.1538696289,5523.9741210938,2495.1281738281,730.3845825195,s,articulators
8.1640625,0,6182.6923828125,3133.0769042969,3960.6411132813,4198.205078125,1617.5640869141,2415.2563476563,7473.4614257813,2178.205078125,6380.5126953125,1384.6153564453,4868.3334960938,3072.8205566406,7601.9228515625,1935.8974609375,3644.4870605469,5183.4614257813,s,articulators
8.171875,0,5398.0771484375,5405.5126953125,6657.5639648438,7818.974609375,670.2564086914,533.3333129883,3406.794921875,5067.4360351563,764.3589477539,2018.3333740234,1991.1538085938,3613.7180175781,8186.9228515625,5142.8203125,1185.2563476563,3742.8205566406,s,articulators
8.1796875,0,2620.0,224.6153717041,3764.6154785156,753.717956543,6835.1284179688,568.9743652344,5990.1284179688,2728.3332519531,1347.9487304688,3009.7436523438,4990.8974609375,6889.615234375,63.9743499756,2928.8461914063,1125.5128173828,1086.2821044922,s,articulators
8.1875,0,2959.8718261719,6811.41015625,3861.794921875,7418.974609375,2016.2821044922,3866.1538085938,3826.9230957031,1532.4359130859,3559.2307128906,4485.8974609375,3686.41015625,7597.4360351563,1828.4615478516,1708.9743652344,6771.5385742188,4346.6665039063,s,articulators
8.1953125,0,1396.9230957031,338.461517334,1033.5897216797,5050.384765625,1885.8974609375,3707.8205566406,2079.6154785156,4838.7177734375,3754.2307128906,5418.9741210938,4495.6411132813,180.8974304199,6731.2822265625,4210.1284179688,7040.1284179688,1508.4615478516,s,articulators
8.203125,0,2213.8461914063,6352.1796875,6251.0258789063,7008.9741210938,6968.3334960938,2383.4614257813,2713.8461914063,2456.9230957031,4539.8715820313,2869.2307128906,1269.7435302734,3653.4614257813,2590.7692871094,6987.8203125,8376.5380859375,7492.0512695313,s,articulators
8.2109375,0,4433.4614257813,7323.58984375,4859.615234375,2538.58984375,2195.1281738281,5593.205078125,3873.4614257813,7764.4873046875,1862.0512695313,1502.0512695313,8087.6923828125,2834.7436523438,3736.6667480469,5041.794921875,6011.41015625,3436.794921875,s,articulators
8.21875,0,5171.1538085938,4154.3588867188,3837.0512695313,18.3333244324,3725.6411132813,65.256401062,5021.1538085938,7651.6665039063,2679.8718261719,6887.5639648438,7447.0512695313,5796.41015625,5988.4614257813,4742.9487304688,7370.7690429688,3055.1281738281,s,articulators
8.2265625,0,916.7948608398,1855.0,2400.6411132813,580.2564086914,8002.5639648438,3067.9487304688,4622.6923828125,850.7692260742,6946.1538085938,6755.384765625,4128.58984375,5736.5385742188,7683.4614257813,3575.8974609375,7878.974609375,1349.8718261719,s,articulators
8.234375,0,7990.384765625,2432.3076171875,6115.7690429688,6664.3588867188,4547.9487304688,7208.9741210938,6131.41015625,6466.2822265625,3042.1794433594,2267.8205566406,6738.7177734375,6879.2309570313,6974.615234375,7062.1796875,6274.4873046875,5631.9228515625,s,articulators
8.2421875,0,7860.0,6400.8974609375,6241.1538085938,91.9230651855,941.1538696289,5583.205078125,234.3589630127,653.3333129883,3492.6923828125,2261.1538085938,5064.3588867188,3810.1281738281,3392.9487304688,6897.9487304688,6583.4614257813,5327.3076171875,s,articulators
8.25,0,6246.41015625,7077.3076171875,3190.7692871094,4482.8203125,6247.3076171875,4988.8461914063,4461.9228515625,4624.1025390625,8183.7177734375,1681.6666259766,3970.3845214844,7121.2822265625,743.717956543,6075.0,1254.7435302734,4469.615234375,s,articulators
8.2578125,0,5112.9487304688,1991.1538085938,4231.9228515625,6791.6665039063,3814.2307128906,5294.7436523438,5288.8461914063,7541.1538085938,793.3333129883,1217.6922607422,2878.205078125,3376.6667480469,4336.794921875,5236.1538085938,3550.2563476563,6339.1025390625,s,articulators
8.265625,0,4795.2563476563,1128.9743652344,4062.6923828125,5275.7690429688,3285.2563476563,557.6923217773,6502.4360351563,8136.1538085938,4306.5385742188,7597.0512695313,2553.58984375,6077.4360351563,5643.4614257813,5483.205078125,52.3076820374,8015.8974609375,s,articulators
8.2734375,0,6554.8715820313,6904.2309570313,1929.8718261719,1185.2563476563,468.8461608887,1787.8205566406,6429.615234375,6594.7436523438,275.2564086914,4887.9487304688,1916.9230957031,1731.794921875,5105.1284179688,4452.4360351563,8127.4360351563,4231.1538085938,s,articulators
8.28125,0,4426.1538085938,2545.2563476563,1689.4871826172,3326.2819824219,1669.1025390625,6243.205078125,1363.3333740234,5260.2563476563,6532.3076171875,4922.0512695313,3443.8461914063,1394.1025390625,975.5128173828,1018.717956543,6547.4360351563,7537.1796875,s,articulators
8.2890625,0,283.2051086426,3593.9743652344,1561.0256347656,387.9486999512,1016.282043457,2837.1794433594,4132.4360351563,4461.5385742188,4496.9228515625,3830.3845214844,6056.41015625,6952.4360351563,2370.0,3931.9230957031,5397.5639648438,5320.1284179688,s,articulators
8.296875,0,1367.6922607422,7366.41015625,2534.2307128906,6598.4614257813,2001.5384521484,3252.3076171875,5657.4360351563,4315.1284179688,566.282043457,7936.9228515625,527.9487304688,3281.6667480469,4381.794921875,7989.1025390625,2880.3845214844,4303.9741210938,s,articulators
8.3046875,0,5199.1025390625,4235.384765625,2830.6411132813,928.8461303711,5587.3076171875,2934.4870605469,5111.6665039063,1960.3846435547,6334.7436523438,286.1538391113,2429.8718261719,2612.0512695313,6446.6665039063,6230.1284179688,7230.6411132813,7925.5126953125,s,articulators
8.3125,0,7094.2309570313,2890.8974609375,8020.1284179688,608.5897216797,6031.0258789063,6470.0,4809.4873046875,2681.2819824219,692.0512695313,3705.8974609375,5423.205078125,3760.0,746.6666870117,1915.6409912109,5149.615234375,5117.0512695313,s,articulators
8.3203125,0,4211.2822265625,3629.3588867188,4922.4360351563,1118.205078125,2315.3845214844,3473.7180175781,75.7692184448,4128.58984375,7335.5126953125,3140.7692871094,2849.7436523438,1945.5128173828,697.8204956055,3362.5642089844,6985.7690429688,2526.5385742188,s,articulators
8.328125,0,3531.2819824219,722.8204956055,2716.2819824219,6781.794921875,4743.7177734375,6748.3334960938,5100.0,6829.615234375,1287.3077392578,8226.6669921875,1222.3077392578,204.7435760498,6063.0771484375,5475.0,5742.3076171875,7214.7436523438,s,articulators
8.3359375,0,606.4102783203,76.282043457,3024.6154785156,6568.9741210938,3098.0769042969,2443.9743652344,3524.3588867188,5376.5385742188,6.2820425034,6291.5385742188,538.0769042969,2243.8461914063,5675.0,4935.5126953125,3120.0,70.256401062,s,articulators
8.34375,0,646.1538085938,4387.5639648438,6720.5126953125,771.9230957031,5299.3588867188,7550.1284179688,555.1281738281,2609.2307128906,5632.9487304688,2072.9487304688,4293.3334960938,5823.8461914063,1070.1281738281,7131.5385742188,1881.5384521484,6903.7177734375,s,articulators
8.3515625,0,4194.7436523438,218.7179412842,3654.6154785156,5853.8461914063,3924.3588867188,7383.4614257813,6465.7690429688,713.2051391602,7378.7177734375,6544.615234375,2475.6411132813,2579.6154785156,1898.205078125,214.230758667,5658.8461914063,2195.5126953125,s,articulators
8.359375,0,630.1281738281,1456.6666259766,3589.4870605469,623.0769042969,1091.9230957031,4606.9228515625,1518.4615478516,6744.4873046875,5085.8974609375,7253.974609375,5737.5639648438,3113.9743652344,2340.0,774.2307739258,3517.8205566406,618.4615478516,s,articulators
8.3671875,0,8045.6411132813,3795.5129394531,4627.8203125,3789.1025390625,2448.3332519531,2065.8974609375,5087.0512695313,3627.9487304688,7561.2822265625,3933.0769042969,7535.1284179688,4661.794921875,4606.6665039063,3124.3588867188,6295.8974609375,5721.794921875,s,articulators
8.375,0,3731.0256347656,6743.0771484375,7767.5639648438,4760.0,2846.41015625,6221.2822265625,3080.1281738281,3405.5129394531,1664.2307128906,8207.1796875,2282.1794433594,625.8973999023,3319.2307128906,5838.58984375,2598.9743652344,2522.8205566406,s,articulators
8.3828125,0,6578.58984375,7029.615234375,395.7692260742,626.4102783203,7174.2309570313,6041.5385742188,1177.1794433594,2790.0,1485.6409912109,3810.3845214844,5047.6923828125,6848.3334960938,4818.58984375,7070.7690429688,4923.3334960938,2058.205078125,s,articulators
