Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Ref1,Ref2,Label,Stage
8.0,0,1122.05127,8306.794922,7819.358887,5083.461426,1822.94873,5812.436035,3968.333252,4617.563965,1877.179443,8375.384766,7088.974121,7068.589844,3634.358887,4930.769043,6082.307617,1479.871826,m,articulators
8.0078125,0,2696.410156,5607.94873,1926.025635,8170.641113,6070.897461,5625.256348,7450.641113,5268.333496,5397.05127,6337.563965,6304.871582,800.5128174,7186.794922,168.7179413,5510.512695,5918.205078,m,articulators
8.015625,0,6173.333496,3361.153809,3384.615479,1911.153809,8036.538574,3524.871826,7946.666504,2148.846191,8347.307617,84.35896301,3924.743652,8180.769043,4871.922852,6453.589844,1503.333374,3114.102539,m,articulators
8.0234375,0,3623.718018,2044.102539,877.3076782,1724.102539,5020.641113,8352.948242,4546.794922,4818.589844,5255.256348,4298.589844,6470.769043,2019.487183,4848.589844,1850.769165,662.8204956,7056.922852,m,articulators
8.03125,0,3448.846191,8171.666504,184.2307587,362.5640869,1050.640991,6649.230957,3388.461426,2860.512939,5073.846191,7857.563965,1717.692261,8071.410156,5552.563965,7503.717773,8122.436035,5585.128418,m,articulators
8.0390625,0,612.1795044,6481.153809,7386.410156,933.0769043,8020.897461,3160.769287,7461.666504,6461.666504,940.2564087,62.30768204,96.28204346,3463.076904,713.8461304,7096.922852,5366.025879,279.4871826,m,articulators
8.046875,0,6525.512695,7068.846191,6056.666504,6914.230957,2812.94873,3692.435791,1837.435913,7774.615234,2814.102539,241.6666565,5944.230957,3796.538574,42.4358902,2376.410156,4403.974121,2104.487061,m,articulators
8.0546875,0,2039.487183,3590.128174,7960.512695,2802.94873,1276.794922,3368.333252,8029.102539,1786.282104,4899.487305,2251.281982,437.0512695,3461.666748,2134.102539,3982.435791,2240.512695,4591.153809,m,articulators
8.0625,0,5251.153809,5163.205078,8189.615234,7736.410156,1126.282104,7831.410156,4255.641113,7675.641113,7138.077148,6314.230957,6216.922852,4441.025879,3061.410156,4114.358887,5007.563965,1857.05127,m,articulators
8.0703125,0,6040.128418,1108.333374,6738.077148,5890.641113,5800.384766,82.56409454,2852.692383,4182.05127,3437.94873,3965.256348,4543.974121,861.2820435,8109.743652,4591.666504,6648.077148,5510.384766,m,articulators
8.078125,0,3760.769287,1759.74353,3521.025635,7052.563965,6447.179688,4464.358887,613.2051392,6637.307617,1381.282104,5431.538574,5057.307617,3406.281982,7800.256348,6356.025879,2753.589844,4161.794922,m,articulators
8.0859375,0,2406.025635,1341.282104,7382.94873,2324.871826,7074.230957,4682.563965,4563.077148,4667.05127,4396.282227,224.2307587,5147.692383,7765.256348,3411.794922,8396.410156,5771.025879,7390.384766,m,articulators
8.09375,0,64.23075867,5506.153809,5733.717773,2107.692383,7476.410156,8322.179688,4016.794922,2775.0,1184.615356,5415.384766,3002.179443,3332.692383,8222.948242,2132.05127,6739.743652,3880.769287,m,articulators
8.1015625,0,1749.871826,7191.794922,3575.769287,935.7692261,1683.717896,6574.230957,5031.922852,8320.769531,6260.769043,1201.794922,2830.128174,851.666687,2282.435791,2600.256348,7838.717773,3030.769287,m,articulators
8.109375,0,3309.743652,2586.538574,6776.666504,7241.410156,4045.512939,4841.922852,5642.05127,5056.025879,8114.743652,1700.897461,4139.358887,1936.794922,2131.794922,7014.230957,5889.615234,6094.230957,m,articulators
8.1171875,0,2368.076904,7499.102539,6747.94873,3762.820557,7095.512695,4179.743652,6878.461426,5311.538574,4569.487305,6678.461426,6990.384766,181.6666565,2907.435791,6560.897461,3264.615479,3668.205078,m,articulators
8.125,0,1402.435913,1267.435913,1238.333374,8222.307617,4109.230957,1533.461548,392.9487,5833.589844,5855.384766,2537.179443,2082.820557,774.3589478,3733.718018,4645.897461,1064.615356,5333.205078,m,articulators
8.1328125,0,2768.205078,2240.897461,6168.589844,4762.05127,3117.564209,5715.641113,4309.487305,5853.077148,4193.589844,1702.564087,6291.666504,1818.717896,3886.281982,401.4102478,7364.230957,4482.94873,m,articulators
8.140625,0,6057.307617,4597.179688,7402.94873,1817.179443,6556.922852,290.1282043,3198.205078,8385.512695,2251.794922,3497.692383,8399.743164,4671.666504,8345.12793,1925.640991,7049.615234,7729.615234,m,articulators
8.1484375,0,4784.487305,1279.102539,6834.615234,1790.640991,2690.897461,3813.461426,4412.05127,722.9487305,7385.0,829.6153564,125.8974304,2335.384521,5739.615234,4456.666504,8343.589844,2105.897461,m,articulators
8.15625,0,2.692298651,554.2307739,1026.794922,8042.820313,4930.384766,4553.077148,3185.897461,4095.0,4782.820313,6163.717773,161.2820435,2476.410156,5776.666504,7379.487305,891.9230957,6507.94873,m,articulators
8.1640625,0,466.2820435,2983.718018,3513.589844,5566.410156,3738.718018,12.05127335,4563.077148,412.6922913,339.1025696,6589.871582,7551.153809,1952.05127,276.9230652,6250.0,2008.205078,2817.179443,m,articulators
8.171875,0,3134.102539,3107.05127,4816.153809,6205.384766,7690.512695,5421.538574,5203.461426,1970.897461,6710.641113,431.0256348,1197.94873,1600.512817,8103.589844,8323.077148,5775.128418,3354.487061,m,articulators
8.1796875,0,1751.923096,1599.74353,227.0512695,2451.923096,6645.641113,6670.128418,2425.384521,991.1538696,8396.154297,5400.641113,1524.230713,4682.307617,8276.922852,4615.769043,5912.436035,3591.538574,m,articulators
8.1875,0,281.2820435,5174.871582,2422.307617,1256.794922,1572.564087,853.7179565,4059.615479,8127.820313,5205.897461,3243.974365,3171.538574,7234.102539,1598.205078,2920.0,363.717926,3948.974365,m,articulators
8.1953125,0,5645.384766,2188.076904,6402.94873,7851.153809,3438.461426,7186.025879,4387.436035,7282.307617,1413.205078,8335.512695,2684.230713,3365.256348,6350.897461,569.1025391,4044.743652,2817.564209,m,articulators
